4 claims: [2070, 382, 6, 1569]
192 episodes in plan, 90 to run
[1/90] B4_armA_a1.00_x04_r08 290s (avg 290s/ep, ETA 7.2h)
[2/90] B4_armA_a1.00_x08_r08 303s (avg 151s/ep, ETA 3.7h)
[3/90] B4_armA_a1.00_x12_r08 316s (avg 105s/ep, ETA 2.5h)
[4/90] B4_armA_a1.00_x16_r08 308s (avg 149s/ep, ETA 3.6h)
[5/90] B4_armA_a1.00_x20_r08 309s (avg 122s/ep, ETA 2.9h)
[6/90] B4_armA_a1.00_x24_r08 308s (avg 104s/ep, ETA 2.4h)
[7/90] B4_armA_a0.20_x04_r09 428s (avg 147s/ep, ETA 3.4h)
[8/90] B4_armA_a0.20_x08_r09 432s (avg 130s/ep, ETA 3.0h)
[9/90] B4_armA_a0.20_x12_r09 438s (avg 118s/ep, ETA 2.7h)
[10/90] B4_armA_a0.20_x16_r09 452s (avg 148s/ep, ETA 3.3h)
[11/90] B4_armA_a0.20_x20_r09 452s (avg 136s/ep, ETA 3.0h)
[12/90] B4_armA_a0.20_x24_r09 453s (avg 126s/ep, ETA 2.7h)
[13/90] B4_armA_a1.00_x04_r09 325s (avg 139s/ep, ETA 3.0h)
[14/90] B4_armA_a1.00_x08_r09 319s (avg 130s/ep, ETA 2.7h)
[15/90] B4_armA_a1.00_x12_r09 314s (avg 122s/ep, ETA 2.5h)
[16/90] B4_armA_a1.00_x16_r09 303s (avg 132s/ep, ETA 2.7h)
[17/90] B4_armA_a1.00_x20_r09 301s (avg 125s/ep, ETA 2.5h)
[18/90] B4_armA_a1.00_x24_r09 300s (avg 118s/ep, ETA 2.4h)
[19/90] B4_armA_a0.20_x04_r10 434s (avg 134s/ep, ETA 2.6h)
[20/90] B4_armA_a0.20_x08_r10 442s (avg 128s/ep, ETA 2.5h)
[21/90] B4_armA_a0.20_x12_r10 448s (avg 123s/ep, ETA 2.4h)
[22/90] B4_armA_a0.20_x16_r10 446s (avg 136s/ep, ETA 2.6h)
[23/90] B4_armA_a0.20_x20_r10 445s (avg 131s/ep, ETA 2.4h)
[24/90] B4_armA_a0.20_x24_r10 443s (avg 126s/ep, ETA 2.3h)
[25/90] B4_armA_a1.00_x04_r10 321s (avg 132s/ep, ETA 2.4h)
[26/90] B4_armA_a1.00_x08_r10 317s (avg 128s/ep, ETA 2.3h)
[27/90] B4_armA_a1.00_x12_r10 312s (avg 123s/ep, ETA 2.2h)
[28/90] B4_armA_a1.00_x16_r10 305s (avg 129s/ep, ETA 2.2h)
[29/90] B4_armA_a1.00_x20_r10 306s (avg 125s/ep, ETA 2.1h)
[30/90] B4_armA_a1.00_x24_r10 306s (avg 121s/ep, ETA 2.0h)
[31/90] B4_armA_a0.20_x04_r11 444s (avg 131s/ep, ETA 2.1h)
[32/90] B4_armA_a0.20_x08_r11 449s (avg 127s/ep, ETA 2.1h)
[33/90] B4_armA_a0.20_x12_r11 454s (avg 124s/ep, ETA 2.0h)
[34/90] B4_armA_a0.20_x16_r11 458s (avg 133s/ep, ETA 2.1h)
[35/90] B4_armA_a0.20_x20_r11 459s (avg 130s/ep, ETA 2.0h)
[36/90] B4_armA_a0.20_x24_r11 460s (avg 126s/ep, ETA 1.9h)
[37/90] B4_armA_a1.00_x04_r11 318s (avg 131s/ep, ETA 1.9h)
[38/90] B4_armA_a1.00_x08_r11 310s (avg 127s/ep, ETA 1.8h)
[39/90] B4_armA_a1.00_x12_r11 305s (avg 125s/ep, ETA 1.8h)
[40/90] B4_armA_a1.00_x16_r11 321s (avg 129s/ep, ETA 1.8h)
[41/90] B4_armA_a1.00_x20_r11 324s (avg 126s/ep, ETA 1.7h)
[42/90] B4_armA_a1.00_x24_r11 323s (avg 123s/ep, ETA 1.6h)
[43/90] B4_armA_a0.20_x04_r12 433s (avg 130s/ep, ETA 1.7h)
[44/90] B4_armA_a0.20_x08_r12 437s (avg 127s/ep, ETA 1.6h)
[45/90] B4_armA_a0.20_x12_r12 443s (avg 125s/ep, ETA 1.6h)
[46/90] B4_armA_a0.20_x16_r12 447s (avg 131s/ep, ETA 1.6h)
[47/90] B4_armA_a0.20_x20_r12 449s (avg 129s/ep, ETA 1.5h)
[48/90] B4_armA_a0.20_x24_r12 447s (avg 126s/ep, ETA 1.5h)
[49/90] B4_armA_a1.00_x04_r12 316s (avg 130s/ep, ETA 1.5h)
[50/90] B4_armA_a1.00_x08_r12 309s (avg 127s/ep, ETA 1.4h)
[51/90] B4_armA_a1.00_x12_r12 305s (avg 125s/ep, ETA 1.4h)
[52/90] B4_armA_a1.00_x16_r12 324s (avg 128s/ep, ETA 1.4h)
[53/90] B4_armA_a1.00_x20_r12 325s (avg 126s/ep, ETA 1.3h)
[54/90] B4_armA_a1.00_x24_r12 323s (avg 124s/ep, ETA 1.2h)
[55/90] B4_armA_a0.20_x04_r13 439s (avg 129s/ep, ETA 1.3h)
[56/90] B4_armA_a0.20_x08_r13 444s (avg 127s/ep, ETA 1.2h)
[57/90] B4_armA_a0.20_x12_r13 452s (avg 125s/ep, ETA 1.2h)
[58/90] B4_armA_a0.20_x16_r13 460s (avg 131s/ep, ETA 1.2h)
[59/90] B4_armA_a0.20_x20_r13 460s (avg 129s/ep, ETA 1.1h)
[60/90] B4_armA_a0.20_x24_r13 459s (avg 127s/ep, ETA 1.1h)
[61/90] B4_armA_a1.00_x04_r13 330s (avg 130s/ep, ETA 1.0h)
[62/90] B4_armA_a1.00_x08_r13 324s (avg 128s/ep, ETA 1.0h)
[63/90] B4_armA_a1.00_x12_r13 319s (avg 126s/ep, ETA 0.9h)
[64/90] B4_armA_a1.00_x16_r13 312s (avg 128s/ep, ETA 0.9h)
[65/90] B4_armA_a1.00_x20_r13 316s (avg 127s/ep, ETA 0.9h)
[66/90] B4_armA_a1.00_x24_r13 313s (avg 125s/ep, ETA 0.8h)
[67/90] B4_armA_a0.20_x04_r14 446s (avg 129s/ep, ETA 0.8h)
[68/90] B4_armA_a0.20_x08_r14 451s (avg 128s/ep, ETA 0.8h)
[69/90] B4_armA_a0.20_x12_r14 458s (avg 126s/ep, ETA 0.7h)
[70/90] B4_armA_a0.20_x16_r14 473s (avg 130s/ep, ETA 0.7h)
[71/90] B4_armA_a0.20_x20_r14 472s (avg 129s/ep, ETA 0.7h)
[72/90] B4_armA_a0.20_x24_r14 470s (avg 127s/ep, ETA 0.6h)
[73/90] B4_armA_a1.00_x04_r14 324s (avg 130s/ep, ETA 0.6h)
[74/90] B4_armA_a1.00_x08_r14 317s (avg 128s/ep, ETA 0.6h)
[75/90] B4_armA_a1.00_x12_r14 313s (avg 126s/ep, ETA 0.5h)
[76/90] B4_armA_a1.00_x16_r14 302s (avg 128s/ep, ETA 0.5h)
[77/90] B4_armA_a1.00_x20_r14 302s (avg 127s/ep, ETA 0.5h)
[78/90] B4_armA_a1.00_x24_r14 302s (avg 125s/ep, ETA 0.4h)
[79/90] B4_armA_a0.20_x04_r15 445s (avg 129s/ep, ETA 0.4h)
[80/90] B4_armA_a0.20_x08_r15 453s (avg 128s/ep, ETA 0.4h)
[81/90] B4_armA_a0.20_x12_r15 457s (avg 126s/ep, ETA 0.3h)
[82/90] B4_armA_a0.20_x16_r15 441s (avg 130s/ep, ETA 0.3h)
[83/90] B4_armA_a0.20_x20_r15 439s (avg 129s/ep, ETA 0.2h)
[84/90] B4_armA_a0.20_x24_r15 439s (avg 127s/ep, ETA 0.2h)
[85/90] B4_armA_a1.00_x04_r15 312s (avg 129s/ep, ETA 0.2h)
[86/90] B4_armA_a1.00_x08_r15 308s (avg 128s/ep, ETA 0.1h)
[87/90] B4_armA_a1.00_x12_r15 302s (avg 126s/ep, ETA 0.1h)
[88/90] B4_armA_a1.00_x16_r15 304s (avg 128s/ep, ETA 0.1h)
[89/90] B4_armA_a1.00_x20_r15 298s (avg 127s/ep, ETA 0.0h)
[90/90] B4_armA_a1.00_x24_r15 298s (avg 125s/ep, ETA 0.0h)
finished 90 episodes in 3.13h
