288 episodes, 288 to run (3 claims: [993, 1103, 1239])
[1/288] S2b_A1_supports_c1103_a0.30_x04_r00 502s ETA 40.0h
[2/288] S2b_A1_supports_c993_a0.30_x04_r00 524s ETA 20.8h
[3/288] S2b_A1_supports_c1239_a0.30_x04_r00 546s ETA 14.4h
[4/288] S2b_A1_supports_c993_a0.30_x12_r00 485s ETA 19.5h
[5/288] S2b_A1_supports_c1103_a0.30_x12_r00 480s ETA 15.8h
[6/288] S2b_A1_supports_c1239_a0.30_x12_r00 476s ETA 13.3h
[7/288] S2b_A1_supports_c993_a0.30_x20_r00 409s ETA 15.6h
[8/288] S2b_A1_supports_c1103_a0.30_x20_r00 408s ETA 13.7h
[9/288] S2b_A1_supports_c1239_a0.30_x20_r00 408s ETA 12.3h
[10/288] S2b_A1_supports_c993_a0.30_x28_r00 410s ETA 13.9h
[11/288] S2b_A1_supports_c1103_a0.30_x28_r00 411s ETA 12.8h
[12/288] S2b_A1_supports_c1239_a0.30_x28_r00 411s ETA 11.8h
[13/288] S2b_A1_supports_c993_a0.55_x04_r00 364s ETA 12.8h
[14/288] S2b_A1_supports_c1103_a0.55_x04_r00 362s ETA 11.9h
[15/288] S2b_A1_supports_c1239_a0.55_x04_r00 360s ETA 11.1h
[16/288] S2b_A1_supports_c993_a0.55_x12_r00 363s ETA 12.0h
[17/288] S2b_A1_supports_c1103_a0.55_x12_r00 363s ETA 11.3h
[18/288] S2b_A1_supports_c1239_a0.55_x12_r00 363s ETA 10.7h
[19/288] S2b_A1_supports_c993_a0.55_x20_r00 359s ETA 11.4h
[20/288] S2b_A1_supports_c1103_a0.55_x20_r00 359s ETA 10.8h
[21/288] S2b_A1_supports_c1239_a0.55_x20_r00 359s ETA 10.3h
[22/288] S2b_A1_supports_c993_a0.55_x28_r00 360s ETA 10.9h
[23/288] S2b_A1_supports_c1103_a0.55_x28_r00 360s ETA 10.5h
[24/288] S2b_A1_supports_c1239_a0.55_x28_r00 360s ETA 10.0h
[25/288] S2b_A1_supports_c993_a0.30_x04_r01 412s ETA 10.7h
[26/288] S2b_A1_supports_c1103_a0.30_x04_r01 414s ETA 10.3h
