192 episodes, 192 to run (4 claims: [90006, 91569, 90382, 92070])
[1/192] S2b_A2_paraphrase_c90006_a0.30_x04_r00 362s ETA 19.2h
[2/192] S2b_A2_paraphrase_c90382_a0.30_x04_r00 395s ETA 10.4h
[3/192] S2b_A2_paraphrase_c91569_a0.30_x04_r00 428s ETA 7.5h
[4/192] S2b_A2_paraphrase_c92070_a0.30_x04_r00 393s ETA 9.9h
[5/192] S2b_A2_paraphrase_c90006_a0.30_x12_r00 394s ETA 8.2h
[6/192] S2b_A2_paraphrase_c90382_a0.30_x12_r00 394s ETA 7.1h
[7/192] S2b_A2_paraphrase_c91569_a0.30_x12_r00 387s ETA 8.4h
[8/192] S2b_A2_paraphrase_c92070_a0.30_x12_r00 385s ETA 7.5h
[9/192] S2b_A2_paraphrase_c90006_a0.30_x20_r00 382s ETA 6.8h
[10/192] S2b_A2_paraphrase_c90382_a0.30_x20_r00 392s ETA 7.8h
[11/192] S2b_A2_paraphrase_c91569_a0.30_x20_r00 393s ETA 7.2h
[12/192] S2b_A2_paraphrase_c92070_a0.30_x20_r00 396s ETA 6.7h
[13/192] S2b_A2_paraphrase_c90006_a0.30_x28_r00 395s ETA 7.4h
[14/192] S2b_A2_paraphrase_c90382_a0.30_x28_r00 396s ETA 6.9h
[15/192] S2b_A2_paraphrase_c91569_a0.30_x28_r00 395s ETA 6.5h
[16/192] S2b_A2_paraphrase_c92070_a0.30_x28_r00 393s ETA 7.1h
[17/192] S2b_A2_paraphrase_c90006_a0.30_x04_r01 392s ETA 6.7h
[18/192] S2b_A2_paraphrase_c90382_a0.30_x04_r01 392s ETA 6.4h
[19/192] S2b_A2_paraphrase_c91569_a0.30_x04_r01 386s ETA 6.8h
[20/192] S2b_A2_paraphrase_c92070_a0.30_x04_r01 388s ETA 6.6h
[21/192] S2b_A2_paraphrase_c90006_a0.30_x12_r01 388s ETA 6.3h
[22/192] S2b_A2_paraphrase_c90382_a0.30_x12_r01 400s ETA 6.7h
[23/192] S2b_A2_paraphrase_c91569_a0.30_x12_r01 398s ETA 6.4h
[24/192] S2b_A2_paraphrase_c92070_a0.30_x12_r01 399s ETA 6.2h
[25/192] S2b_A2_paraphrase_c90006_a0.30_x20_r01 395s ETA 6.5h
[26/192] S2b_A2_paraphrase_c90382_a0.30_x20_r01 393s ETA 6.3h
[27/192] S2b_A2_paraphrase_c91569_a0.30_x20_r01 392s ETA 6.1h
[28/192] S2b_A2_paraphrase_c92070_a0.30_x20_r01 386s ETA 6.3h
[29/192] S2b_A2_paraphrase_c90006_a0.30_x28_r01 386s ETA 6.1h
[30/192] S2b_A2_paraphrase_c90382_a0.30_x28_r01 388s ETA 5.9h
[31/192] S2b_A2_paraphrase_c91569_a0.30_x28_r01 389s ETA 6.2h
[32/192] S2b_A2_paraphrase_c92070_a0.30_x28_r01 389s ETA 6.0h
[33/192] S2b_A2_paraphrase_c90006_a0.30_x04_r02 389s ETA 5.8h
[34/192] S2b_A2_paraphrase_c90382_a0.30_x04_r02 405s ETA 6.0h
[35/192] S2b_A2_paraphrase_c91569_a0.30_x04_r02 405s ETA 5.9h
[36/192] S2b_A2_paraphrase_c92070_a0.30_x04_r02 407s ETA 5.7h
[37/192] S2b_A2_paraphrase_c90006_a0.30_x12_r02 408s ETA 5.9h
[38/192] S2b_A2_paraphrase_c90382_a0.30_x12_r02 409s ETA 5.8h
[39/192] S2b_A2_paraphrase_c91569_a0.30_x12_r02 406s ETA 5.6h
[40/192] S2b_A2_paraphrase_c92070_a0.30_x12_r02 395s ETA 5.8h
[41/192] S2b_A2_paraphrase_c90006_a0.30_x20_r02 395s ETA 5.6h
[42/192] S2b_A2_paraphrase_c90382_a0.30_x20_r02 396s ETA 5.5h
[43/192] S2b_A2_paraphrase_c91569_a0.30_x20_r02 389s ETA 5.7h
[44/192] S2b_A2_paraphrase_c92070_a0.30_x20_r02 387s ETA 5.5h
[45/192] S2b_A2_paraphrase_c90006_a0.30_x28_r02 386s ETA 5.4h
[46/192] S2b_A2_paraphrase_c90382_a0.30_x28_r02 397s ETA 5.5h
[47/192] S2b_A2_paraphrase_c91569_a0.30_x28_r02 395s ETA 5.4h
[48/192] S2b_A2_paraphrase_c92070_a0.30_x28_r02 394s ETA 5.3h
[49/192] S2b_A2_paraphrase_c90006_a0.30_x04_r03 385s ETA 5.4h
[50/192] S2b_A2_paraphrase_c90382_a0.30_x04_r03 389s ETA 5.3h
[51/192] S2b_A2_paraphrase_c91569_a0.30_x04_r03 389s ETA 5.2h
[52/192] S2b_A2_paraphrase_c92070_a0.30_x04_r03 390s ETA 5.3h
[53/192] S2b_A2_paraphrase_c90006_a0.30_x12_r03 386s ETA 5.2h
[54/192] S2b_A2_paraphrase_c90382_a0.30_x12_r03 388s ETA 5.0h
[55/192] S2b_A2_paraphrase_c91569_a0.30_x12_r03 385s ETA 5.1h
[56/192] S2b_A2_paraphrase_c92070_a0.30_x12_r03 385s ETA 5.0h
[57/192] S2b_A2_paraphrase_c90006_a0.30_x20_r03 384s ETA 4.9h
[58/192] S2b_A2_paraphrase_c90382_a0.30_x20_r03 395s ETA 5.0h
[59/192] S2b_A2_paraphrase_c91569_a0.30_x20_r03 397s ETA 4.9h
[60/192] S2b_A2_paraphrase_c92070_a0.30_x20_r03 397s ETA 4.8h
[61/192] S2b_A2_paraphrase_c90006_a0.30_x28_r03 389s ETA 4.9h
[62/192] S2b_A2_paraphrase_c90382_a0.30_x28_r03 388s ETA 4.8h
[63/192] S2b_A2_paraphrase_c91569_a0.30_x28_r03 388s ETA 4.7h
[64/192] S2b_A2_paraphrase_c92070_a0.30_x28_r03 394s ETA 4.8h
[65/192] S2b_A2_paraphrase_c90006_a0.30_x04_r04 393s ETA 4.7h
[66/192] S2b_A2_paraphrase_c90382_a0.30_x04_r04 394s ETA 4.6h
[67/192] S2b_A2_paraphrase_c91569_a0.30_x04_r04 387s ETA 4.7h
[68/192] S2b_A2_paraphrase_c92070_a0.30_x04_r04 388s ETA 4.6h
[69/192] S2b_A2_paraphrase_c90006_a0.30_x12_r04 388s ETA 4.5h
[70/192] S2b_A2_paraphrase_c90382_a0.30_x12_r04 400s ETA 4.5h
[71/192] S2b_A2_paraphrase_c91569_a0.30_x12_r04 399s ETA 4.5h
[72/192] S2b_A2_paraphrase_c92070_a0.30_x12_r04 399s ETA 4.4h
[73/192] S2b_A2_paraphrase_c90006_a0.30_x20_r04 394s ETA 4.4h
[74/192] S2b_A2_paraphrase_c90382_a0.30_x20_r04 396s ETA 4.4h
[75/192] S2b_A2_paraphrase_c91569_a0.30_x20_r04 395s ETA 4.3h
[76/192] S2b_A2_paraphrase_c92070_a0.30_x20_r04 388s ETA 4.3h
[77/192] S2b_A2_paraphrase_c90006_a0.30_x28_r04 387s ETA 4.2h
[78/192] S2b_A2_paraphrase_c90382_a0.30_x28_r04 388s ETA 4.2h
[79/192] S2b_A2_paraphrase_c91569_a0.30_x28_r04 383s ETA 4.2h
[80/192] S2b_A2_paraphrase_c92070_a0.30_x28_r04 384s ETA 4.1h
[81/192] S2b_A2_paraphrase_c90006_a0.30_x04_r05 384s ETA 4.0h
[82/192] S2b_A2_paraphrase_c90382_a0.30_x04_r05 402s ETA 4.1h
[83/192] S2b_A2_paraphrase_c91569_a0.30_x04_r05 402s ETA 4.0h
[84/192] S2b_A2_paraphrase_c92070_a0.30_x04_r05 403s ETA 3.9h
[85/192] S2b_A2_paraphrase_c90006_a0.30_x12_r05 394s ETA 4.0h
[86/192] S2b_A2_paraphrase_c90382_a0.30_x12_r05 394s ETA 3.9h
[87/192] S2b_A2_paraphrase_c91569_a0.30_x12_r05 394s ETA 3.8h
[88/192] S2b_A2_paraphrase_c92070_a0.30_x12_r05 390s ETA 3.9h
[89/192] S2b_A2_paraphrase_c90006_a0.30_x20_r05 389s ETA 3.8h
[90/192] S2b_A2_paraphrase_c90382_a0.30_x20_r05 389s ETA 3.7h
[91/192] S2b_A2_paraphrase_c91569_a0.30_x20_r05 388s ETA 3.7h
[92/192] S2b_A2_paraphrase_c92070_a0.30_x20_r05 389s ETA 3.7h
[93/192] S2b_A2_paraphrase_c90006_a0.30_x28_r05 389s ETA 3.6h
[94/192] S2b_A2_paraphrase_c90382_a0.30_x28_r05 398s ETA 3.6h
[95/192] S2b_A2_paraphrase_c91569_a0.30_x28_r05 398s ETA 3.6h
[96/192] S2b_A2_paraphrase_c92070_a0.30_x28_r05 396s ETA 3.5h
[97/192] S2b_A2_paraphrase_c90006_a0.30_x04_r06 390s ETA 3.5h
[98/192] S2b_A2_paraphrase_c90382_a0.30_x04_r06 389s ETA 3.5h
[99/192] S2b_A2_paraphrase_c91569_a0.30_x04_r06 393s ETA 3.4h
[100/192] S2b_A2_paraphrase_c92070_a0.30_x04_r06 394s ETA 3.4h
[101/192] S2b_A2_paraphrase_c90006_a0.30_x12_r06 395s ETA 3.3h
[102/192] S2b_A2_paraphrase_c90382_a0.30_x12_r06 394s ETA 3.3h
[103/192] S2b_A2_paraphrase_c91569_a0.30_x12_r06 387s ETA 3.3h
[104/192] S2b_A2_paraphrase_c92070_a0.30_x12_r06 386s ETA 3.2h
[105/192] S2b_A2_paraphrase_c90006_a0.30_x20_r06 384s ETA 3.2h
[106/192] S2b_A2_paraphrase_c90382_a0.30_x20_r06 393s ETA 3.2h
[107/192] S2b_A2_paraphrase_c91569_a0.30_x20_r06 392s ETA 3.1h
[108/192] S2b_A2_paraphrase_c92070_a0.30_x20_r06 394s ETA 3.1h
[109/192] S2b_A2_paraphrase_c90006_a0.30_x28_r06 390s ETA 3.1h
[110/192] S2b_A2_paraphrase_c90382_a0.30_x28_r06 392s ETA 3.0h
[111/192] S2b_A2_paraphrase_c91569_a0.30_x28_r06 390s ETA 2.9h
[112/192] S2b_A2_paraphrase_c92070_a0.30_x28_r06 395s ETA 3.0h
[113/192] S2b_A2_paraphrase_c90006_a0.30_x04_r07 394s ETA 2.9h
[114/192] S2b_A2_paraphrase_c90382_a0.30_x04_r07 396s ETA 2.8h
[115/192] S2b_A2_paraphrase_c91569_a0.30_x04_r07 387s ETA 2.8h
[116/192] S2b_A2_paraphrase_c92070_a0.30_x04_r07 389s ETA 2.8h
[117/192] S2b_A2_paraphrase_c90006_a0.30_x12_r07 387s ETA 2.7h
[118/192] S2b_A2_paraphrase_c90382_a0.30_x12_r07 398s ETA 2.7h
[119/192] S2b_A2_paraphrase_c91569_a0.30_x12_r07 397s ETA 2.7h
[120/192] S2b_A2_paraphrase_c92070_a0.30_x12_r07 396s ETA 2.6h
[121/192] S2b_A2_paraphrase_c90006_a0.30_x20_r07 388s ETA 2.6h
[122/192] S2b_A2_paraphrase_c90382_a0.30_x20_r07 390s ETA 2.6h
[123/192] S2b_A2_paraphrase_c91569_a0.30_x20_r07 390s ETA 2.5h
[124/192] S2b_A2_paraphrase_c92070_a0.30_x20_r07 389s ETA 2.5h
[125/192] S2b_A2_paraphrase_c90006_a0.30_x28_r07 389s ETA 2.5h
[126/192] S2b_A2_paraphrase_c90382_a0.30_x28_r07 392s ETA 2.4h
[127/192] S2b_A2_paraphrase_c91569_a0.30_x28_r07 386s ETA 2.4h
[128/192] S2b_A2_paraphrase_c92070_a0.30_x28_r07 384s ETA 2.3h
[129/192] S2b_A2_paraphrase_c90006_a0.30_x04_r08 381s ETA 2.3h
[130/192] S2b_A2_paraphrase_c90382_a0.30_x04_r08 401s ETA 2.3h
[131/192] S2b_A2_paraphrase_c91569_a0.30_x04_r08 402s ETA 2.2h
[132/192] S2b_A2_paraphrase_c92070_a0.30_x04_r08 404s ETA 2.2h
[133/192] S2b_A2_paraphrase_c90006_a0.30_x12_r08 388s ETA 2.2h
[134/192] S2b_A2_paraphrase_c90382_a0.30_x12_r08 388s ETA 2.1h
[135/192] S2b_A2_paraphrase_c91569_a0.30_x12_r08 388s ETA 2.1h
[136/192] S2b_A2_paraphrase_c92070_a0.30_x12_r08 394s ETA 2.1h
[137/192] S2b_A2_paraphrase_c90006_a0.30_x20_r08 394s ETA 2.0h
[138/192] S2b_A2_paraphrase_c90382_a0.30_x20_r08 394s ETA 2.0h
[139/192] S2b_A2_paraphrase_c91569_a0.30_x20_r08 387s ETA 1.9h
[140/192] S2b_A2_paraphrase_c92070_a0.30_x20_r08 387s ETA 1.9h
[141/192] S2b_A2_paraphrase_c90006_a0.30_x28_r08 385s ETA 1.9h
[142/192] S2b_A2_paraphrase_c90382_a0.30_x28_r08 395s ETA 1.8h
[143/192] S2b_A2_paraphrase_c91569_a0.30_x28_r08 394s ETA 1.8h
[144/192] S2b_A2_paraphrase_c92070_a0.30_x28_r08 393s ETA 1.7h
[145/192] S2b_A2_paraphrase_c90006_a0.30_x04_r09 387s ETA 1.7h
[146/192] S2b_A2_paraphrase_c90382_a0.30_x04_r09 391s ETA 1.7h
[147/192] S2b_A2_paraphrase_c91569_a0.30_x04_r09 393s ETA 1.6h
[148/192] S2b_A2_paraphrase_c92070_a0.30_x04_r09 397s ETA 1.6h
[149/192] S2b_A2_paraphrase_c90006_a0.30_x12_r09 396s ETA 1.6h
[150/192] S2b_A2_paraphrase_c90382_a0.30_x12_r09 396s ETA 1.5h
[151/192] S2b_A2_paraphrase_c91569_a0.30_x12_r09 384s ETA 1.5h
[152/192] S2b_A2_paraphrase_c92070_a0.30_x12_r09 384s ETA 1.5h
[153/192] S2b_A2_paraphrase_c90006_a0.30_x20_r09 384s ETA 1.4h
[154/192] S2b_A2_paraphrase_c90382_a0.30_x20_r09 396s ETA 1.4h
[155/192] S2b_A2_paraphrase_c91569_a0.30_x20_r09 394s ETA 1.4h
[156/192] S2b_A2_paraphrase_c92070_a0.30_x20_r09 396s ETA 1.3h
[157/192] S2b_A2_paraphrase_c90006_a0.30_x28_r09 393s ETA 1.3h
[158/192] S2b_A2_paraphrase_c90382_a0.30_x28_r09 396s ETA 1.2h
[159/192] S2b_A2_paraphrase_c91569_a0.30_x28_r09 395s ETA 1.2h
[160/192] S2b_A2_paraphrase_c92070_a0.30_x28_r09 399s ETA 1.2h
[161/192] S2b_A2_paraphrase_c90006_a0.30_x04_r10 398s ETA 1.1h
