256 episodes, 256 to run
[1/256] B3c_c590_a0.30_x02_r00 340s ETA 24.1h
[2/256] B3c_c97_a0.30_x02_r00 343s ETA 12.1h
[3/256] B3c_c184_a0.30_x02_r00 344s ETA 8.1h
[4/256] B3c_c1013_a0.30_x02_r00 349s ETA 12.1h
[5/256] B3c_c656_a0.30_x02_r00 376s ETA 10.0h
[6/256] B3c_c832_a0.30_x02_r00 373s ETA 8.3h
[7/256] B3c_c1151_a0.30_x02_r00 311s ETA 10.2h
[8/256] B3c_c97_a0.30_x06_r00 326s ETA 9.0h
[9/256] B3c_c1146_a0.30_x02_r00 367s ETA 8.1h
[10/256] B3c_c184_a0.30_x06_r00 362s ETA 9.5h
[11/256] B3c_c590_a0.30_x06_r00 366s ETA 8.7h
[12/256] B3c_c656_a0.30_x06_r00 363s ETA 8.0h
[13/256] B3c_c832_a0.30_x06_r00 370s ETA 9.1h
[14/256] B3c_c1013_a0.30_x06_r00 367s ETA 8.5h
[15/256] B3c_c1146_a0.30_x06_r00 366s ETA 8.0h
[16/256] B3c_c1151_a0.30_x06_r00 358s ETA 8.8h
[17/256] B3c_c97_a0.30_x10_r00 354s ETA 8.3h
[18/256] B3c_c184_a0.30_x10_r00 358s ETA 7.9h
[19/256] B3c_c590_a0.30_x10_r00 375s ETA 8.6h
[20/256] B3c_c656_a0.30_x10_r00 376s ETA 8.2h
[21/256] B3c_c832_a0.30_x10_r00 377s ETA 7.9h
[22/256] B3c_c1013_a0.30_x10_r00 362s ETA 8.4h
[23/256] B3c_c1146_a0.30_x10_r00 371s ETA 8.1h
[24/256] B3c_c1151_a0.30_x10_r00 355s ETA 7.7h
[25/256] B3c_c97_a0.30_x14_r00 347s ETA 8.2h
[26/256] B3c_c184_a0.30_x14_r00 349s ETA 7.9h
[27/256] B3c_c590_a0.30_x14_r00 346s ETA 7.6h
[28/256] B3c_c656_a0.30_x14_r00 368s ETA 8.1h
[29/256] B3c_c832_a0.30_x14_r00 363s ETA 7.8h
[30/256] B3c_c1013_a0.30_x14_r00 376s ETA 7.5h
[31/256] B3c_c1146_a0.30_x14_r00 353s ETA 7.9h
[32/256] B3c_c1151_a0.30_x14_r00 350s ETA 7.7h
[33/256] B3c_c97_a0.30_x18_r00 354s ETA 7.4h
[34/256] B3c_c184_a0.30_x18_r00 363s ETA 7.8h
[35/256] B3c_c656_a0.30_x18_r00 344s ETA 7.5h
[36/256] B3c_c590_a0.30_x18_r00 381s ETA 7.3h
[37/256] B3c_c832_a0.30_x18_r00 366s ETA 7.6h
[38/256] B3c_c1013_a0.30_x18_r00 367s ETA 7.4h
[39/256] B3c_c1146_a0.30_x18_r00 364s ETA 7.2h
[40/256] B3c_c1151_a0.30_x18_r00 349s ETA 7.5h
[41/256] B3c_c97_a0.30_x22_r00 351s ETA 7.3h
[42/256] B3c_c184_a0.30_x22_r00 349s ETA 7.1h
[43/256] B3c_c590_a0.30_x22_r00 368s ETA 7.4h
[44/256] B3c_c656_a0.30_x22_r00 367s ETA 7.2h
[45/256] B3c_c832_a0.30_x22_r00 370s ETA 7.0h
[46/256] B3c_c1013_a0.30_x22_r00 360s ETA 7.3h
[47/256] B3c_c1146_a0.30_x22_r00 359s ETA 7.1h
[48/256] B3c_c1151_a0.30_x22_r00 360s ETA 6.9h
[49/256] B3c_c97_a0.30_x26_r00 342s ETA 7.1h
[50/256] B3c_c184_a0.30_x26_r00 358s ETA 7.0h
[51/256] B3c_c590_a0.30_x26_r00 372s ETA 6.9h
[52/256] B3c_c656_a0.30_x26_r00 375s ETA 7.0h
[53/256] B3c_c832_a0.30_x26_r00 369s ETA 6.9h
[54/256] B3c_c1013_a0.30_x26_r00 361s ETA 6.8h
[55/256] B3c_c1146_a0.30_x26_r00 350s ETA 6.9h
[56/256] B3c_c1151_a0.30_x26_r00 361s ETA 6.8h
[57/256] B3c_c97_a0.30_x30_r00 357s ETA 6.6h
[58/256] B3c_c184_a0.30_x30_r00 357s ETA 6.8h
[59/256] B3c_c590_a0.30_x30_r00 352s ETA 6.7h
[60/256] B3c_c656_a0.30_x30_r00 363s ETA 6.5h
[61/256] B3c_c832_a0.30_x30_r00 367s ETA 6.7h
[62/256] B3c_c1013_a0.30_x30_r00 365s ETA 6.6h
[63/256] B3c_c1146_a0.30_x30_r00 365s ETA 6.5h
[64/256] B3c_c1151_a0.30_x30_r00 325s ETA 6.5h
[65/256] B3c_c97_a0.55_x02_r00 319s ETA 6.4h
[66/256] B3c_c184_a0.55_x02_r00 315s ETA 6.3h
[67/256] B3c_c590_a0.55_x02_r00 319s ETA 6.4h
[68/256] B3c_c656_a0.55_x02_r00 324s ETA 6.3h
[69/256] B3c_c832_a0.55_x02_r00 324s ETA 6.2h
[70/256] B3c_c1013_a0.55_x02_r00 295s ETA 6.2h
[71/256] B3c_c1146_a0.55_x02_r00 291s ETA 6.1h
[72/256] B3c_c1151_a0.55_x02_r00 288s ETA 6.0h
[73/256] B3c_c97_a0.55_x06_r00 293s ETA 6.1h
[74/256] B3c_c184_a0.55_x06_r00 295s ETA 6.0h
[75/256] B3c_c590_a0.55_x06_r00 297s ETA 5.9h
[76/256] B3c_c656_a0.55_x06_r00 314s ETA 6.0h
[77/256] B3c_c832_a0.55_x06_r00 315s ETA 5.9h
[78/256] B3c_c1013_a0.55_x06_r00 314s ETA 5.8h
[79/256] B3c_c1146_a0.55_x06_r00 291s ETA 5.8h
[80/256] B3c_c1151_a0.55_x06_r00 287s ETA 5.7h
[81/256] B3c_c97_a0.55_x10_r00 285s ETA 5.6h
[82/256] B3c_c184_a0.55_x10_r00 304s ETA 5.7h
[83/256] B3c_c590_a0.55_x10_r00 306s ETA 5.6h
[84/256] B3c_c656_a0.55_x10_r00 310s ETA 5.5h
[85/256] B3c_c832_a0.55_x10_r00 317s ETA 5.6h
[86/256] B3c_c1013_a0.55_x10_r00 316s ETA 5.5h
[87/256] B3c_c1146_a0.55_x10_r00 313s ETA 5.4h
[88/256] B3c_c1151_a0.55_x10_r00 294s ETA 5.4h
[89/256] B3c_c97_a0.55_x14_r00 295s ETA 5.4h
[90/256] B3c_c184_a0.55_x14_r00 295s ETA 5.3h
[91/256] B3c_c590_a0.55_x14_r00 313s ETA 5.3h
[92/256] B3c_c656_a0.55_x14_r00 314s ETA 5.3h
[93/256] B3c_c832_a0.55_x14_r00 317s ETA 5.2h
[94/256] B3c_c1013_a0.55_x14_r00 300s ETA 5.2h
[95/256] B3c_c1146_a0.55_x14_r00 299s ETA 5.1h
[96/256] B3c_c1151_a0.55_x14_r00 297s ETA 5.1h
[97/256] B3c_c97_a0.55_x18_r00 297s ETA 5.1h
[98/256] B3c_c184_a0.55_x18_r00 297s ETA 5.0h
[99/256] B3c_c590_a0.55_x18_r00 300s ETA 4.9h
[100/256] B3c_c656_a0.55_x18_r00 314s ETA 5.0h
[101/256] B3c_c832_a0.55_x18_r00 315s ETA 4.9h
[102/256] B3c_c1013_a0.55_x18_r00 313s ETA 4.8h
[103/256] B3c_c1146_a0.55_x18_r00 295s ETA 4.9h
