delta,model,family,bin_lo,bin_hi,n,k,q,ci_lo,ci_hi
0.05,gpt,random,0.0,0.1,0,0,,,
0.05,gpt,random,0.1,0.2,2,0,0.0,0.0,0.6576280471103807
0.05,gpt,random,0.2,0.30000000000000004,32,9,0.28125,0.15564406845647866,0.4537483693811179
0.05,gpt,random,0.30000000000000004,0.4,186,72,0.3870967741935484,0.32005451723332845,0.4587084093328194
0.05,gpt,random,0.4,0.5,386,183,0.4740932642487047,0.4247802587127901,0.5239168531398188
0.05,gpt,random,0.5,0.6000000000000001,499,320,0.6412825651302605,0.5982673585537147,0.6821390358257479
0.05,gpt,random,0.6000000000000001,0.7000000000000001,147,122,0.8299319727891157,0.7609880253943963,0.8820706533785684
0.05,gpt,random,0.7000000000000001,0.8,26,26,1.0,0.8712669561953784,1.0000000000000002
0.05,gpt,random,0.8,0.9,2,2,1.0,0.34237195288961925,1.0
0.05,gpt,random,0.9,1.0,0,0,,,
0.05,gpt,square,0.0,0.1,0,0,,,
0.05,gpt,square,0.1,0.2,0,0,,,
0.05,gpt,square,0.2,0.30000000000000004,5,3,0.6,0.23071993220883708,0.8823817688407467
0.05,gpt,square,0.30000000000000004,0.4,17,5,0.29411764705882354,0.13279793865556402,0.5313353332621391
0.05,gpt,square,0.4,0.5,45,17,0.37777777777777777,0.25107885298349863,0.5237032999353246
0.05,gpt,square,0.5,0.6000000000000001,65,47,0.7230769230769231,0.6041913125777423,0.8170656018460944
0.05,gpt,square,0.6000000000000001,0.7000000000000001,22,21,0.9545454545454546,0.7820151050048196,0.9919307806988522
0.05,gpt,square,0.7000000000000001,0.8,6,6,1.0,0.6096569663469354,0.9999999999999999
0.05,gpt,square,0.8,0.9,0,0,,,
0.05,gpt,square,0.9,1.0,0,0,,,
0.05,gpt,triangular,0.0,0.1,0,0,,,
0.05,gpt,triangular,0.1,0.2,0,0,,,
0.05,gpt,triangular,0.2,0.30000000000000004,4,2,0.5,0.15003570882017148,0.8499642911798285
0.05,gpt,triangular,0.30000000000000004,0.4,17,4,0.23529411764705882,0.0955488907167594,0.47262245889171595
0.05,gpt,triangular,0.4,0.5,54,30,0.5555555555555556,0.42375413911364457,0.6799774312440219
0.05,gpt,triangular,0.5,0.6000000000000001,68,49,0.7205882352941176,0.6043634045165331,0.8132219499299158
