model,family,n_groups,xc_empirical,xc_emp_ci_lo,xc_emp_ci_hi,xc_hmf_wT1,xc_hmf_wTtable3,xc_rollout_3coupling,dxc_wT1,dxc_wTtable3,dxc_rollout
gpt,random,1280,0.4941699605858402,0.4751920390338192,0.5131650375062257,0.4999999999999999,0.2702542541515609,0.5755473856266156,-0.005830039414159716,0.22391570643427927,-0.08137742504077539
gpt,square,160,0.4769512317697311,0.4282831362298935,0.5124509572504687,0.5,0.2948996659469926,0.5482787477312233,-0.023048768230268912,0.18205156582273851,-0.07132751596149223
gpt,triangular,160,0.4400775795744428,0.3896525633522262,0.4740231837689469,0.5,0.2785402230473335,0.5232375669117264,-0.05992242042555718,0.16153735652710932,-0.08315998733728358
gma,random,1280,0.2846859451390625,0.2537130198302683,0.3158710941876961,0.4999999999999999,0.1917074201657334,0.4980604969603321,-0.2153140548609374,0.09297852497332909,-0.21337455182126963
gma,square,160,0.2547417176585675,0.1519957617761801,0.3416234740408705,0.5,0.2948996659469926,0.5164935140938314,-0.2452582823414325,-0.04015794828842506,-0.26175179643526386
gma,triangular,160,0.176931250307271,0.0966817246927792,0.2487299608448754,0.5,0.2785402230473335,0.5096039397815674,-0.32306874969272903,-0.1016089727400625,-0.3326726894742964
qwn,random,1280,0.1416314172969932,0.0532229735980558,0.2110990829228422,0.4999999999999999,0.2693540910137812,0.5674874215504518,-0.3583685827030067,-0.12772267371678803,-0.42585600425345865
qwn,square,160,0.1584277063862526,-0.2918995071859481,0.3181090195836562,0.5,0.2948996659469926,0.582921968573705,-0.3415722936137474,-0.13647195956073999,-0.42449426218745245
qwn,triangular,160,0.0766027383574821,-0.5349620050145055,0.262573725063406,0.5,0.2785402230473335,0.5474233888716783,-0.4233972616425179,-0.2019374846898514,-0.4708206505141962
lma,random,1280,0.4591762794880261,0.4392833882871886,0.4793453261294488,0.4999999999999999,0.24931056217858,0.450265350262677,-0.040823720511973804,0.2098657173094461,0.008910929225349085
lma,square,160,0.5108425923690462,0.4558738677283955,0.5666521094228497,0.5,0.2948996659469926,0.4889850558724701,0.010842592369046167,0.2159429264220536,0.02185753649657607
lma,triangular,160,0.4664764017663886,0.4139726148724426,0.5244451677119726,0.5,0.2785402230473335,0.5022183223014596,-0.033523598233611396,0.1879361787190551,-0.03574192053507097
