dataset,claim_id,model,gamma,with_self,rank,n_par,n_obs,k_levels,c0,delta,beta_bar,theta
stage2_A,6,constant,0.0,False,3,3,624,"0,1,2,3,5,8,12",0.12900430019803036,-0.08337157534801769,0.480153963269602,
stage2_A,6,divisive,0.9,False,3,3,624,"0,1,2,3,5,8,12",0.4817572513517871,-0.9220756562481879,3.211819745359318,
stage2_A,382,constant,0.0,False,3,3,624,"0,1,2,3,5,8,12",1.202590531682136,-0.39784417984704484,0.7884965063131175,
stage2_A,382,divisive,0.9,False,3,3,624,"0,1,2,3,5,8,12",3.838889611813123,-5.099335699701464,4.330370994396177,
stage2_A,1569,constant,0.0,False,3,3,624,"0,1,2,3,5,8,12",0.3458329507992199,-0.07141788972419434,0.58280254262844,
stage2_A,1569,divisive,0.9,False,3,3,624,"0,1,2,3,5,8,12",0.7661068052900745,-0.8868459938014213,3.770773045914282,
stage2_A,2070,constant,0.0,False,3,3,624,"0,1,2,3,5,8,12",1.014355955361025,-0.33915545775808215,0.6746243363806654,
stage2_A,2070,divisive,0.9,False,3,3,624,"0,1,2,3,5,8,12",1.4065180118488259,-2.193548778801952,3.7198551876030383,
stage2_B,6,constant,0.0,True,4,4,1248,"0,1,2,3,5,8,12",-1.1613121807227305,0.003589336947593482,0.24125479854916632,2.1145258013677046
stage2_B,6,divisive,0.9,True,4,4,1248,"0,1,2,3,5,8,12",-1.296227868577999,0.07837146771920245,1.9955633503086403,2.283292307763231
stage2_B,382,constant,0.0,True,4,4,1248,"0,1,2,3,5,8,12",-0.8822820976003869,-0.07035338353734644,0.3813697845004616,1.9703625910748814
stage2_B,382,divisive,0.9,True,4,4,1248,"0,1,2,3,5,8,12",-0.31762725884784127,-1.2847086975523936,2.8437597821795353,2.242182555264155
stage2_B,1569,constant,0.0,True,4,4,1248,"0,1,2,3,5,8,12",-0.63637003198643,-0.01106337966259256,0.2859903828771833,1.7412710667082374
stage2_B,1569,divisive,0.9,True,4,4,1248,"0,1,2,3,5,8,12",-0.49694034647733837,-0.3385843771567936,2.334286648875053,1.942209544187258
stage2_B,2070,constant,0.0,True,4,4,1248,"0,1,2,3,5,8,12",-0.515845921127139,-0.15117994367293125,0.5130118564559805,1.3425429714630177
stage2_B,2070,divisive,0.9,True,4,4,1248,"0,1,2,3,5,8,12",-0.24214754431171914,-1.2915623862854362,3.2973923656814796,1.4872085383636104
stage2b,993,constant,0.0,False,3,3,336,"2,5,8",0.33461545500655004,0.17830910074298048,0.7520055538095848,
stage2b,993,divisive,0.9,False,3,3,336,"2,5,8",0.9112803794326529,0.35255111619166335,4.271279574442946,
stage2b,1103,constant,0.0,False,3,3,336,"2,5,8",-0.5289072785587576,0.18105731336568764,0.39971535494577176,
stage2b,1103,divisive,0.9,False,3,3,336,"2,5,8",-2.8111727820490158,3.5806628926042663,2.3979636707450744,
stage2b,1239,constant,0.0,False,3,3,336,"2,5,8",0.3409804952505331,0.3483658218353258,0.7808074207242546,
stage2b,1239,divisive,0.9,False,3,3,336,"2,5,8",0.9580510587728356,1.343172239012176,4.612510083799037,
stage2b,90006,constant,0.0,False,3,3,336,"2,5,8",0.2855190971842005,0.2244313790893363,0.7485319042153418,
stage2b,90006,divisive,0.9,False,3,3,336,"2,5,8",0.046900730101820505,1.4161166148126454,3.9381739630028285,
stage2b,90382,constant,0.0,False,3,3,336,"2,5,8",0.623876604313965,0.19671817326735655,0.6230961345581544,
stage2b,90382,divisive,0.9,False,3,3,336,"2,5,8",1.518721618878537,0.1298081941470692,3.632070666092392,
stage2b,91569,constant,0.0,False,3,3,336,"2,5,8",1.0043954080838666,0.06979143376276241,0.4956559758874075,
stage2b,91569,divisive,0.9,False,3,3,336,"2,5,8",2.6039164419966276,-1.3462786134193991,3.0096520189362774,
stage2b,92070,constant,0.0,False,3,3,336,"2,5,8",3.027417710633766,3.1185964184421855,3.317393604998115,
stage2b,92070,divisive,0.9,False,3,3,336,"2,5,8",5.350989936835018,7.2151010862922496,11.058619358370546,
stage2c,97,constant,0.0,False,3,3,336,"2,5,8",0.057477604936028846,1.617053337386383,1.6408738147724473,
stage2c,97,divisive,0.9,False,3,3,336,"2,5,8",-0.28021102919529856,9.384325887896775,9.172198624939117,
stage2c,184,constant,0.0,False,3,3,336,"2,5,8",1.9632868978147306,3.9266640209445622,7.22130993860497e-17,
stage2c,184,divisive,0.9,False,3,3,336,"2,5,8",5.952838880399394,4.969358769470615,9.122705539059407e-17,
stage2c,590,constant,0.0,False,3,3,336,"2,5,8",-0.842015593404559,0.01436938136656634,2.1617533551508124,
stage2c,590,divisive,0.9,False,3,3,336,"2,5,8",-1.451662955742396,0.793915061389183,10.958281056597523,
stage2c,656,constant,0.0,False,3,3,336,"2,5,8",0.5022039793747495,0.9054195133563873,2.4848030559867214,
stage2c,656,divisive,0.9,False,3,3,336,"2,5,8",4.602252045608435,-0.09119259096434283,13.083992906903509,
stage2c,832,constant,0.0,False,3,3,336,"2,5,8",1.0006305726115077,-0.028397779460855574,1.8679793265894524,
stage2c,832,divisive,0.9,False,3,3,336,"2,5,8",2.2012181190737103,-1.5326682535306029,9.35338667268786,
