dataset,claim_id,k,n,rank_3col,A_k,B_k,max_abs_gap_legacy_vs_identified
stage2b,993,2,72,2,-1.7561922556946774,2.8395635909499832,0.005024043077257123
stage2b,993,5,144,2,-2.5045058790160337,1.4846791974241824,0.0562659187202017
stage2b,993,8,120,2,-3.305818059563473,1.1702742036307692,0.07092429087610397
stage2b,1103,2,72,2,-1.7093598608223186,1.4824183760464698,0.10731785642291514
stage2b,1103,5,144,2,-1.687072966987469,0.8392105950541537,0.13616683482207675
stage2b,1103,8,120,2,-1.900443564911068,0.6701287220582376,0.13636626912947009
stage2b,1239,2,72,2,-1.9483052245121493,5.097006937019234,0.05916837167006814
stage2b,1239,5,144,2,-1.6149784176747666,1.318924671074243,0.05358547242194295
stage2b,1239,8,120,2,-2.3724075843185988,1.2478179920720924,0.06429333100519796
stage2b,90006,2,72,2,-1.085943575730574,1.7577216992346492,0.013658548500539602
stage2b,90006,5,144,2,-2.434483704125979,1.6914058133247418,0.03421581242104593
stage2b,90006,8,120,2,-3.3645278227790167,1.2272920061758883,0.056878437083634936
stage2b,90382,2,72,2,-0.8134979787003929,2.21470773775974,0.03437419156262633
stage2b,90382,5,144,2,-1.6901217688151264,1.370676230566098,0.12306586385408885
stage2b,90382,8,120,2,-2.082898849312065,0.9435525807969606,0.14194058231698042
stage2b,91569,2,72,2,-0.6024029893123941,2.2172172532086245,0.11225451107019474
stage2b,91569,5,144,2,-0.9677628304616713,0.9288571396415428,0.2135191682018664
stage2b,91569,8,120,2,-2.1562089003422074,0.8781154322708347,0.23596364776814915
stage2b,92070,2,72,2,2.3979051623111105,11.463374940703293,0.7328687653528777
stage2b,92070,5,144,2,2.397905162301275,11.463376020878941,0.03405206926982207
stage2b,92070,8,120,2,1.3350021267671814,6.865992889043759,0.16725678217612894
stage2c,97,2,72,2,-0.16704938303160982,13.839910878579174,0.457448630523716
stage2c,97,5,144,2,-0.16704938303469552,13.839911785693095,0.43655686873203947
stage2c,97,8,120,2,-0.00682682576618308,1.6147608816418926,0.03455562964232323
stage2c,184,2,72,2,13.814843492277943,2.0187061448089607,1.0006662863881743e-06
stage2c,184,5,144,2,13.813025252708176,2.047185192225604,1.0024873913216936e-06
stage2c,184,8,120,2,13.73325446915515,1.4850671980329577,1.0857326395719014e-06
stage2c,590,2,72,2,-14.869450725242045,13.982161791275715,0.0992366686945518
stage2c,590,5,144,2,-10.045832509686331,3.745209163387756,0.16858434071300332
