stage,claim_id,alpha,frozen_fixed_points,frozen_class,searchfix_fps,searchfix_class,searchfix_xc,id_constant_fps,id_constant_class,id_constant_xc,id_divisive_fps,id_divisive_class,id_divisive_xc,obs_class,obs_cross,obs_ci_lo,obs_ci_hi,obs_n_episodes,obs_cells,obs_below_grid,searchfix_match,searchfix_in_ci,id_constant_match,id_constant_in_ci,id_divisive_match,id_divisive_in_ci
stage2c,97,0.3,0.998(stable),mono_correct,0.9985(s),mono_correct,,1.0000(s),mono_correct,,1.0000(s),mono_correct,,mono_correct,,,,16,x0=0.062:pc=1.00(n=2); x0=0.188:pc=1.00(n=2); x0=0.312:pc=1.00(n=2); x0=0.438:pc=1.00(n=2); x0=0.562:pc=1.00(n=2); x0=0.688:pc=1.00(n=2); x0=0.812:pc=1.00(n=2); x0=0.938:pc=1.00(n=2),False,hit,,hit,,hit,
stage2c,97,0.55,,mono_correct,1.0000(s),mono_correct,,1.0000(s),mono_correct,,1.0000(s),mono_correct,,mono_correct,,,,16,x0=0.062:pc=1.00(n=2); x0=0.188:pc=1.00(n=2); x0=0.312:pc=1.00(n=2); x0=0.438:pc=1.00(n=2); x0=0.562:pc=1.00(n=2); x0=0.688:pc=1.00(n=2); x0=0.812:pc=1.00(n=2); x0=0.938:pc=1.00(n=2),False,hit,,hit,,hit,
stage2c,184,0.3,,mono_correct,1.0000(s),mono_correct,,1.0000(s),mono_correct,,1.0000(s),mono_correct,,mono_correct,,,,16,x0=0.062:pc=1.00(n=2); x0=0.188:pc=1.00(n=2); x0=0.312:pc=1.00(n=2); x0=0.438:pc=1.00(n=2); x0=0.562:pc=1.00(n=2); x0=0.688:pc=1.00(n=2); x0=0.812:pc=1.00(n=2); x0=0.938:pc=1.00(n=2),False,hit,,hit,,hit,
stage2c,184,0.55,,mono_correct,1.0000(s),mono_correct,,1.0000(s),mono_correct,,1.0000(s),mono_correct,,mono_correct,,,,16,x0=0.062:pc=1.00(n=2); x0=0.188:pc=1.00(n=2); x0=0.312:pc=1.00(n=2); x0=0.438:pc=1.00(n=2); x0=0.562:pc=1.00(n=2); x0=0.688:pc=1.00(n=2); x0=0.812:pc=1.00(n=2); x0=0.938:pc=1.00(n=2),False,hit,,hit,,hit,
stage2c,590,0.3,0.535(unstable); 1.0(stable),bistable(x_c=0.535),0.0000(s); 0.5349(u); 1.0000(s),bistable,0.5348689206710169,0.0000(s); 0.5376(u); 1.0000(s),bistable,0.5375599936298496,0.0000(s); 0.5593(u); 1.0000(s),bistable,0.559302736651301,bistable,0.5603251414687074,0.4652972701220525,0.6532231909285667,16,x0=0.062:pc=0.00(n=2); x0=0.188:pc=0.00(n=2); x0=0.312:pc=0.00(n=2); x0=0.438:pc=0.00(n=2); x0=0.562:pc=0.50(n=2); x0=0.688:pc=1.00(n=2); x0=0.812:pc=1.00(n=2); x0=0.938:pc=1.00(n=2),False,hit,True,hit,True,hit,True
stage2c,590,0.55,0.0(stable); 0.629(unstable); 1.0(stable),bistable(x_c=0.629),0.0000(s); 0.6287(u); 0.9998(s),bistable,0.6287287886527604,0.0000(s); 0.5690(u); 0.9999(s),bistable,0.5690448900073994,0.0000(s); 0.5777(u); 0.9999(s),bistable,0.5777467121799491,bistable,0.622347381763948,0.5364453162146866,0.7014517665557383,16,x0=0.062:pc=0.00(n=2); x0=0.188:pc=0.00(n=2); x0=0.312:pc=0.00(n=2); x0=0.438:pc=0.00(n=2); x0=0.562:pc=0.00(n=2); x0=0.688:pc=1.00(n=2); x0=0.812:pc=1.00(n=2); x0=0.938:pc=1.00(n=2),False,hit,True,hit,True,hit,True
stage2c,656,0.3,0.003(stable); 0.147(unstable); 1.0(stable),bistable(x_c=0.147),0.0034(s); 0.1473(u); 1.0000(s),bistable,0.1472774906317778,0.0000(s); 0.1701(u); 1.0000(s),bistable,0.17011220428827378,0.0003(s); 0.1847(u); 1.0000(s),bistable,0.18471012688164468,bistable,0.24843464429823203,0.15682355006626622,0.3406013178848661,16,x0=0.062:pc=0.00(n=2); x0=0.188:pc=0.00(n=2); x0=0.312:pc=1.00(n=2); x0=0.438:pc=1.00(n=2); x0=0.562:pc=1.00(n=2); x0=0.688:pc=1.00(n=2); x0=0.812:pc=1.00(n=2); x0=0.938:pc=1.00(n=2),False,hit,False,hit,True,hit,True
stage2c,656,0.55,0.001(stable); 0.125(unstable),bistable(x_c=0.125),0.0006(s); 0.1254(u); 1.0000(s),bistable,0.12539719807272753,0.0011(s); 0.1001(u); 1.0000(s),bistable,0.1000739139727373,0.0008(s); 0.1186(u); 1.0000(s),bistable,0.11858306696584983,bistable,0.11951307796857603,0.05740092887552017,0.2000399217130399,16,x0=0.062:pc=0.00(n=2); x0=0.188:pc=1.00(n=2); x0=0.312:pc=1.00(n=2); x0=0.438:pc=1.00(n=2); x0=0.562:pc=1.00(n=2); x0=0.688:pc=1.00(n=2); x0=0.812:pc=1.00(n=2); x0=0.938:pc=1.00(n=2),False,hit,True,hit,True,hit,True
stage2c,832,0.3,0.0(stable); 0.463(unstable),bistable(x_c=0.463),0.0000(s); 0.4634(u); 1.0000(s),bistable,0.46341365827295533,0.0000(s); 0.4533(u); 1.0000(s),bistable,0.45325892498088094,0.0002(s); 0.4251(u); 0.9999(s),bistable,0.4251444683226495,bistable,0.49773481062892694,0.413488107684046,0.588914188658308,16,x0=0.062:pc=0.00(n=2); x0=0.188:pc=0.00(n=2); x0=0.312:pc=0.00(n=2); x0=0.438:pc=0.00(n=2); x0=0.562:pc=1.00(n=2); x0=0.688:pc=1.00(n=2); x0=0.812:pc=1.00(n=2); x0=0.938:pc=1.00(n=2),False,hit,True,hit,True,hit,True
stage2c,832,0.55,0.001(stable); 0.325(unstable); 1.0(stable),bistable(x_c=0.325),0.0012(s); 0.3246(u); 1.0000(s),bistable,0.3245514070857419,0.0003(s); 0.4093(u); 0.9999(s),bistable,0.40925376092692,0.0004(s); 0.3963(u); 0.9999(s),bistable,0.39632794820553374,bistable,0.4356895122434663,0.3336099898182234,0.5312463352114138,16,x0=0.062:pc=0.00(n=2); x0=0.188:pc=0.00(n=2); x0=0.312:pc=0.00(n=2); x0=0.438:pc=0.50(n=2); x0=0.562:pc=1.00(n=2); x0=0.688:pc=1.00(n=2); x0=0.812:pc=1.00(n=2); x0=0.938:pc=1.00(n=2),False,hit,False,hit,True,hit,True
