stage,claim_id,alpha,frozen_fixed_points,frozen_class,searchfix_fps,searchfix_class,searchfix_xc,id_constant_fps,id_constant_class,id_constant_xc,id_divisive_fps,id_divisive_class,id_divisive_xc,obs_class,obs_cross,obs_ci_lo,obs_ci_hi,obs_n_episodes,obs_cells,obs_below_grid,searchfix_match,searchfix_in_ci,id_constant_match,id_constant_in_ci,id_divisive_match,id_divisive_in_ci
stage2d,6,0.3,0.0(stable); 0.149(unstable),,0.0000(s); 0.1487(u); 1.0000(s),bistable,0.14872270598405818,0.0000(s); 0.1923(u); 1.0000(s),bistable,0.19225499306257376,0.0004(s); 0.2087(u); 1.0000(s),bistable,0.20867036739793537,bistable,0.1891123174567135,0.10379144065520471,0.25120623918227536,40,x0=0.125:pc=0.20(n=10); x0=0.375:pc=1.00(n=10); x0=0.625:pc=1.00(n=10); x0=0.875:pc=1.00(n=10),False,hit,True,hit,True,hit,True
stage2d,6,0.55,0.001(stable); 0.121(unstable); 1.0(stable),,0.0012(s); 0.1213(u); 1.0000(s),bistable,0.12130449490798806,0.0011(s); 0.1228(u); 1.0000(s),bistable,0.12278965386970728,0.0010(s); 0.1440(u); 1.0000(s),bistable,0.14403472129022904,bistable,0.1666010545702188,0.07998538282681317,0.2345013978627262,40,x0=0.125:pc=0.30(n=10); x0=0.375:pc=1.00(n=10); x0=0.625:pc=1.00(n=10); x0=0.875:pc=1.00(n=10),False,hit,True,hit,True,hit,True
stage2d,6,1.0,0.003(stable); 0.043(unstable),,0.0027(s); 0.0430(u); 1.0000(s),bistable,0.04297641401760535,0.9999(s),mono_correct,,1.0000(s),mono_correct,,mixed,-0.142623319606256,-0.24390222579010953,0.07679406958629201,40,x0=0.125:pc=0.90(n=10); x0=0.375:pc=1.00(n=10); x0=0.625:pc=1.00(n=10); x0=0.875:pc=1.00(n=10),True,grid_consistent,,grid_consistent,,grid_consistent,
stage2d,1239,0.3,0.0(stable); 0.661(unstable); 1.0(stable),,0.0000(s); 0.6610(u); 0.9999(s),bistable,0.6609632347851249,0.0000(s); 0.6769(u); 1.0000(s),bistable,0.6768983685163077,0.0000(s); 0.6994(u); 0.9998(s),bistable,0.6993508688578496,bistable,0.7472671867502759,0.7229768764616318,0.7712099223052247,40,x0=0.125:pc=0.00(n=10); x0=0.375:pc=0.00(n=10); x0=0.625:pc=0.00(n=10); x0=0.875:pc=1.00(n=10),False,hit,False,hit,False,hit,False
stage2d,1239,0.55,0.0(stable); 0.653(unstable); 1.0(stable),,0.0000(s); 0.6527(u); 0.9998(s),bistable,0.652696582877802,0.0000(s); 0.7027(u); 0.9994(s),bistable,0.7026509406467438,0.0000(s); 0.7094(u); 0.9997(s),bistable,0.7094205757499472,bistable,0.6907041942253549,0.6285758182843013,0.7503454207276807,40,x0=0.125:pc=0.00(n=10); x0=0.375:pc=0.00(n=10); x0=0.625:pc=0.20(n=10); x0=0.875:pc=1.00(n=10),False,hit,True,hit,True,hit,True
stage2d,1239,1.0,0.0(stable); 0.621(unstable); 1.0(stable),,0.0000(s); 0.6213(u); 1.0000(s),bistable,0.6212800558375251,0.0011(s); 0.7626(u); 0.9895(s),bistable,0.7625696548897265,0.0000(s); 0.7067(u); 0.9995(s),bistable,0.7066570534661121,bistable,0.6991990600832478,0.6149108421732508,0.792093346784355,40,x0=0.125:pc=0.00(n=10); x0=0.375:pc=0.00(n=10); x0=0.625:pc=0.30(n=10); x0=0.875:pc=0.90(n=10),False,hit,True,hit,True,hit,True
stage2d,1569,0.3,0.0(stable); 0.1(unstable),,0.0001(s); 0.0996(u); 1.0000(s),bistable,0.09963311421420129,0.0002(s); 0.0597(u); 1.0000(s),bistable,0.059748961177189114,1.0000(s),mono_correct,,mono_correct,,,,40,x0=0.125:pc=1.00(n=10); x0=0.375:pc=1.00(n=10); x0=0.625:pc=1.00(n=10); x0=0.875:pc=1.00(n=10),False,grid_consistent,,grid_consistent,,hit,
stage2d,1569,0.55,0.018(stable); 0.027(unstable); 1.0(stable),,0.0178(s); 0.0271(u); 1.0000(s),bistable,0.027138797837118492,1.0000(s),mono_correct,,1.0000(s),mono_correct,,mono_correct,,,,40,x0=0.125:pc=1.00(n=10); x0=0.375:pc=1.00(n=10); x0=0.625:pc=1.00(n=10); x0=0.875:pc=1.00(n=10),False,grid_consistent,,hit,,hit,
stage2d,1569,1.0,,,1.0000(s),mono_correct,,1.0000(s),mono_correct,,1.0000(s),mono_correct,,mono_correct,,,,40,x0=0.125:pc=1.00(n=10); x0=0.375:pc=1.00(n=10); x0=0.625:pc=1.00(n=10); x0=0.875:pc=1.00(n=10),False,hit,,hit,,hit,
stage2d,91569,0.3,0.999(stable),,0.9990(s),mono_correct,,0.0068(s); 0.4150(u); 0.9985(s),bistable,0.41502783110778396,0.0195(s); 0.3738(u); 0.9940(s),bistable,0.37377197801867257,bistable,0.3530645320528376,0.2797520152434393,0.4267317281414885,40,x0=0.125:pc=0.00(n=10); x0=0.375:pc=0.60(n=10); x0=0.625:pc=1.00(n=10); x0=0.875:pc=1.00(n=10),False,miss,,hit,True,hit,True
stage2d,91569,0.55,1.0(stable),,0.9996(s),mono_correct,,0.9941(s),mono_correct,,0.9958(s),mono_correct,,mono_correct,,,,40,x0=0.125:pc=1.00(n=10); x0=0.375:pc=1.00(n=10); x0=0.625:pc=1.00(n=10); x0=0.875:pc=1.00(n=10),False,hit,,hit,,hit,
stage2d,91569,1.0,1.0(stable),,1.0000(s),mono_correct,,0.9837(s),mono_correct,,0.9973(s),mono_correct,,mono_correct,,,,40,x0=0.125:pc=1.00(n=10); x0=0.375:pc=1.00(n=10); x0=0.625:pc=1.00(n=10); x0=0.875:pc=1.00(n=10),False,hit,,hit,,hit,
