arm,alpha,rho,claim_id,n,mean_x8,wrong_rate
A,0.2,0,6,14,0.21205357142857142,0.9285714285714286
A,0.2,0,382,14,0.0,1.0
A,0.2,0,1569,14,0.044642857142857144,1.0
A,0.2,0,2070,14,0.020089285714285716,1.0
A,0.3,0,6,14,0.24330357142857142,0.8571428571428571
A,0.3,0,382,14,0.0,1.0
A,0.3,0,1569,14,0.09598214285714286,1.0
A,0.3,0,2070,14,0.020089285714285716,1.0
A,0.3,1,6,8,0.21875,1.0
A,0.3,1,382,8,0.0,1.0
A,0.3,1,1569,8,0.05859375,1.0
A,0.3,1,2070,8,0.0390625,1.0
A,0.38,0,6,8,0.25,0.875
A,0.38,0,382,8,0.0,1.0
A,0.38,0,1569,8,0.0546875,1.0
A,0.38,0,2070,8,0.03125,1.0
A,0.45,0,6,20,0.325,0.7
A,0.45,0,382,20,0.0,1.0
A,0.45,0,1569,20,0.121875,0.95
A,0.45,0,2070,20,0.0578125,1.0
A,0.55,0,6,8,0.359375,0.625
A,0.55,0,382,8,0.0,1.0
A,0.55,0,1569,8,0.18359375,1.0
A,0.55,0,2070,8,0.06640625,1.0
A,1.0,0,6,8,0.55078125,0.25
A,1.0,0,382,8,0.0234375,1.0
A,1.0,0,1569,8,0.25390625,0.75
A,1.0,0,2070,8,0.11328125,1.0
B,0.6,0,6,5,0.0375,1.0
B,0.6,0,382,5,0.0,1.0
B,0.6,0,1569,5,0.06875,1.0
B,0.6,0,2070,5,0.00625,1.0
B,0.9,0,6,5,0.1625,1.0
B,0.9,0,382,5,0.025,1.0
B,0.9,0,1569,5,0.0625,1.0
B,0.9,0,2070,5,0.0375,1.0
B,1.3,0,6,5,0.24375,0.8
B,1.3,0,382,5,0.05,1.0
B,1.3,0,1569,5,0.0625,1.0
B,1.3,0,2070,5,0.0125,1.0
