rule,arm,alpha,rho,x0_n,x0,n,obs_q,obs_wrong,obs_mean_x8,pred_q,pred_wrong,pred_mean_x8
perk17,A,0.2,0,4,0.125,16,0.0,1.0,0.0625,0.0,1.0,0.01912109375
perk17,A,0.2,0,8,0.25,40,0.025,0.975,0.071875,0.0,1.0,0.01982421875
perk17,A,0.2,0,12,0.375,16,0.0,1.0,0.064453125,0.0,1.0,0.019453125
perk17,A,0.2,0,16,0.5,16,0.0,1.0,0.068359375,0.00625,0.9915625,0.028046875
perk17,A,0.2,0,20,0.625,40,0.1,0.9,0.16328125,0.09675,0.88475,0.1194296875
perk17,A,0.2,0,24,0.75,40,0.275,0.725,0.32421875,0.34725,0.594625,0.3621328124999999
perk17,A,0.3,0,4,0.125,40,0.0,0.975,0.08984375,0.0,1.0,0.029
perk17,A,0.3,0,8,0.25,16,0.0,0.9375,0.08984375,0.0,1.0,0.028798828125
perk17,A,0.3,0,12,0.375,16,0.0,1.0,0.091796875,0.0003125,0.9990625,0.03009765625
perk17,A,0.3,0,16,0.5,16,0.0,0.875,0.123046875,0.0059375,0.9878125,0.04095703125
perk17,A,0.3,0,20,0.625,40,0.075,0.725,0.21953125,0.113625,0.8553750000000001,0.1511015625
perk17,A,0.3,0,24,0.75,40,0.4,0.525,0.47109375,0.305875,0.6185,0.3437656249999999
perk17,A,0.3,1,4,0.125,16,0.0,1.0,0.07421875,0.0,1.0,0.029892578125
perk17,A,0.3,1,8,0.25,16,0.0,1.0,0.083984375,0.0,1.0,0.028837890625
perk17,A,0.3,1,12,0.375,16,0.0,0.9375,0.109375,0.0003125,0.9996875,0.03064453125
perk17,A,0.3,1,16,0.5,16,0.0,0.9375,0.134765625,0.0196875,0.9728125,0.05310546875
perk17,A,0.3,1,20,0.625,16,0.0625,0.9375,0.16796875,0.12,0.85,0.152392578125
perk17,A,0.3,1,24,0.75,16,0.3125,0.625,0.404296875,0.308125,0.603125,0.3502734375
perk17,A,0.38,0,4,0.125,16,0.0,1.0,0.07421875,0.0,1.0,0.037685546875
perk17,A,0.38,0,8,0.25,16,0.0,0.9375,0.09375,0.0,1.0,0.036494140625
perk17,A,0.38,0,12,0.375,16,0.0,0.875,0.12890625,0.0021875,0.9953125,0.043427734375
perk17,A,0.38,0,16,0.5,40,0.025,0.9,0.1453125,0.02,0.96475,0.06898046875
perk17,A,0.38,0,20,0.625,40,0.15,0.8,0.24375,0.108375,0.851875,0.1589921875
perk17,A,0.38,0,24,0.75,40,0.35,0.525,0.45234375,0.2825,0.6285000000000001,0.3369765625
perk17,A,0.45,0,4,0.125,40,0.0,0.975,0.09765625,0.0,0.999875,0.0429453125
perk17,A,0.45,0,8,0.25,40,0.0,0.85,0.1546875,0.000375,0.999,0.04585546875
perk17,A,0.45,0,12,0.375,16,0.0,0.875,0.1640625,0.0034375,0.989375,0.054130859375
perk17,A,0.45,0,16,0.5,16,0.0,0.875,0.150390625,0.02375,0.9553125,0.083212890625
perk17,A,0.45,0,20,0.625,16,0.0,0.6875,0.203125,0.084375,0.8724999999999999,0.149052734375
perk17,A,0.45,0,24,0.75,40,0.45,0.475,0.48828125,0.248125,0.6563749999999999,0.3158671875
perk17,A,0.55,0,4,0.125,16,0.0,0.9375,0.134765625,0.0,1.0,0.0542578125
perk17,A,0.55,0,8,0.25,16,0.0,0.875,0.169921875,0.000625,0.9953125,0.057490234375
perk17,A,0.55,0,12,0.375,16,0.0,0.875,0.18359375,0.00375,0.986875,0.068017578125
perk17,A,0.55,0,16,0.5,40,0.1,0.725,0.21953125,0.042375,0.922125,0.11571484375
perk17,A,0.55,0,20,0.625,40,0.225,0.6,0.3171875,0.114625,0.8175000000000001,0.1947578125
perk17,A,0.55,0,24,0.75,40,0.375,0.55,0.43203125,0.231125,0.6521250000000001,0.3237265625
perk17,A,1.0,0,4,0.125,16,0.125,0.6875,0.255859375,0.0103124999999999,0.9359375,0.153876953125
perk17,A,1.0,0,8,0.25,16,0.0625,0.8125,0.21484375,0.0128125,0.93,0.154931640625
perk17,A,1.0,0,12,0.375,16,0.0625,0.625,0.296875,0.0846875,0.8115625,0.232333984375
perk17,A,1.0,0,16,0.5,40,0.225,0.5,0.371875,0.136125,0.743125,0.28100390625
perk17,A,1.0,0,20,0.625,40,0.425,0.45,0.48671875,0.232125,0.592875,0.3746601562499999
perk17,A,1.0,0,24,0.75,40,0.4,0.325,0.53671875,0.32925,0.43725,0.46544921875
perk17,B,0.6,0,4,0.125,20,0.0,1.0,0.028125,0.00325,0.9885000000000002,0.072546875
perk17,B,0.6,0,10,0.3125,20,0.05,0.95,0.0953125,0.0427499999999999,0.9135,0.125609375
perk17,B,0.6,0,16,0.5,20,0.0,0.9,0.103125,0.191,0.7327499999999999,0.261859375
perk17,B,0.6,0,22,0.6875,20,0.15,0.7,0.3140625,0.4707499999999999,0.40675,0.5170546875
perk17,B,0.6,0,28,0.875,20,0.65,0.3,0.665625,0.7380000000000001,0.15,0.7212343750000001
perk17,B,0.9,0,4,0.125,20,0.0,1.0,0.071875,0.0104999999999999,0.964,0.099890625
perk17,B,0.9,0,10,0.3125,20,0.0,1.0,0.0609375,0.07075,0.8620000000000001,0.1662734375
perk17,B,0.9,0,16,0.5,20,0.05,0.95,0.15,0.2395,0.6695,0.314375
perk17,B,0.9,0,22,0.6875,20,0.2,0.55,0.3484375,0.49975,0.37725,0.5380859375000001
