campaign,n_episodes,n_decided,frac_decided,n_undecided,frac_decided_beyond_0.4,n_correct_decided,correct_median_x8,correct_p10_x8,n_wrong_decided,wrong_median_x8,wrong_p90_x8
stage2_armA_rho0,1008,902.0,0.8948,106.0,0.6341,148.0,0.9219,0.6562,754.0,0.0312,0.2812
stage2_armA_rho1,96,93.0,0.9688,3.0,0.6667,6.0,1.0,0.7969,87.0,0.0312,0.3125
stage2_armB,300,275.0,0.9167,25.0,0.6327,49.0,0.875,0.6562,226.0,0.0625,0.2812
stage2b_A1,288,281.0,0.9757,7.0,0.758,279.0,1.0,0.7812,2.0,0.1094,0.1469
stage2b_A2,192,192.0,1.0,0.0,0.9948,192.0,1.0,1.0,0.0,,
stage2c,256,255.0,0.9961,1.0,0.9922,194.0,1.0,1.0,61.0,0.0,0.0
stage2d,480,478.0,0.9958,2.0,0.9665,364.0,1.0,1.0,114.0,0.0,0.125
"ALL_hist_|x8-0.5|_[0.00,0.05)",62,,,,,,,,,,
"ALL_hist_|x8-0.5|_[0.05,0.10)",82,,,,,,,,,,
"ALL_hist_|x8-0.5|_[0.10,0.15)",44,,,,,,,,,,
"ALL_hist_|x8-0.5|_[0.15,0.20)",96,,,,,,,,,,
"ALL_hist_|x8-0.5|_[0.20,0.25)",57,,,,,,,,,,
"ALL_hist_|x8-0.5|_[0.25,0.30)",134,,,,,,,,,,
"ALL_hist_|x8-0.5|_[0.30,0.35)",139,,,,,,,,,,
"ALL_hist_|x8-0.5|_[0.35,0.40)",79,,,,,,,,,,
"ALL_hist_|x8-0.5|_[0.40,0.45)",191,,,,,,,,,,
"ALL_hist_|x8-0.5|_[0.45,0.50)",1736,,,,,,,,,,
