set,alpha_F_fold,K_star,x_fold,res_G,res_Gx,G_xx,G_K,converged,K_star_coarse,alpha_G_exactEK,alpha_G_closed,alpha_G_coarse_exactEK,rel_err_exactEK,rel_err_closed
"$h{=}.10,\ \theta{=}.6,\ \bar\beta{=}.5$",0.6265544891357422,4.982871045061106,0.27594672009582877,0.0,1.000088900582341e-12,1.257736415016808,-0.032215439054739115,True,5.0000000000000036,0.6437093735749062,0.5958206384296674,0.6403217071620391,0.027379716747105515,0.04905215945139668
"$h{=}.10,\ \theta{=}.6,\ \bar\beta{=}1$",1.4011455535888673,2.9202520693451137,0.24010224537093153,2.7755575615628914e-17,1.000088900582341e-12,0.8911484050688756,-0.053314217330902025,True,2.9500000000000015,1.4363248414489633,1.2650563840829778,1.4151086679712344,0.02510751846586424,0.09712707516882402
"$h{=}.30,\ \theta{=}.6,\ \bar\beta{=}1$",1.1264286041259766,3.3442907317025554,0.16875869768583418,3.885780586188048e-16,1.000088900582341e-12,1.758353601610807,-0.056139028529883506,True,3.3500000000000023,1.174907197165456,1.0506327423795314,1.1719208120932496,0.043037430745196024,0.06728865146784603
"$h{=}.70,\ \theta{=}.6,\ \bar\beta{=}1$",0.841178512573242,4.020986373099868,0.11620302438894534,2.7755575615628914e-17,1.000088900582341e-12,3.217411129186054,-0.05109565275267236,True,4.0500000000000025,0.891649092276839,0.8118763240270712,0.8820578847577023,0.0599998442057237,0.03483468503793893
"$h{=}.10,\ \theta{=}0,\ \bar\beta{=}1$",1.1802646636962888,3.279300438987498,0.23503509757542085,0.0,1.000088900582341e-12,0.8562744263640454,-0.0530963996407674,True,3.3000000000000016,1.209796685780586,1.079468478541826,1.1985031077098065,0.025021525249947236,0.0854013411185206
"$h{=}.10,\ \theta{=}2,\ \bar\beta{=}.5$",0.9009563446044921,3.973055095990158,0.2668697460003993,3.0531133177191805e-15,1.000088900582341e-12,1.0510074754943588,-0.029936861586088437,True,4.000000000000003,0.9078678195009005,0.825783900500697,0.8986921857383317,0.007671265026101076,0.08343627807715233
"$h{=}.30,\ \theta{=}2,\ \bar\beta{=}1$",1.5454586029052733,2.721276233571023,0.16495520658296572,2.7755575615628914e-17,1.000088900582341e-12,1.6708280592414582,-0.05449091366974135,True,2.7500000000000013,1.5922350665793483,1.3918126446924761,1.568069439358335,0.030267044090434406,0.09941771194903669
"variant A, measured (constant)",0.4252544403076173,6.360851687923296,0.21521711121118914,9.992007221626409e-16,1.000088900582341e-12,1.960415163537732,-0.04555622785021307,True,6.400000000000005,0.4392391024419826,0.4124783734453491,0.4349505287311022,0.032885399442858766,0.03004334734994495
"variant B, measured (constant)",0.46963768005371087,6.066345221979033,0.2831328631239375,3.930189507173054e-14,1.000088900582341e-12,1.1205321392981915,-0.02235131410066593,True,6.100000000000004,0.47364962827588875,0.4436809095600851,0.4695146880820834,0.008542645517112344,0.055269778376081706
"variant A, measured (divisive, $\gamma{=}0.526$)",0.47643470764160156,5.838026144390744,0.20874075838460848,0.0,1.000088900582341e-12,1.9333308565183671,-0.02031930492640832,True,5.850000000000004,0.503223804405039,0.4703829998878838,0.5016036991675048,0.05622826451088353,0.012702071567527727
"variant B, measured (divisive, $\gamma{=}1.318$)",1.2771785736083987,3.108118597250912,0.2468913744913883,2.7755575615628914e-17,1.000088900582341e-12,1.0161935182217974,-0.017254353458923122,False,3.1500000000000017,1.3101560082378052,1.1619465027240352,1.2844030791665646,0.02582053544496578,0.09022393051803208
