variant,coef,estimate,ci_lo,ci_hi,n_obs
A,c0,0.724709884072387,0.5161591294145297,0.9145237173955351,10608
A,h,0.724709884072387,0.5161591294145297,0.9145237173955351,10608
A,theta,,,,10608
A,beta_T,0.41881137463108,0.3525278145846884,0.4855247125779707,10608
A,beta_F,-0.5677665205439346,-0.7013042635097291,-0.4460586810681034,10608
A,w_T,0.7376471832644308,0.6032057690756985,0.8985714165481453,10608
B,c0,-0.7584812103394276,-0.8949996184718536,-0.6271018092064534,21216
B,h,0.1960528776375169,0.06226916576918818,0.30921019932150867,21216
B,theta,1.909068175953889,1.7234717456864213,2.1061906844905893,21216
B,beta_T,0.2910189328594755,0.26708247545727226,0.31903092465117144,21216
B,beta_F,-0.3255065990434919,-0.374106018134123,-0.286550809229513,21216
B,w_T,0.8940492564963072,0.8007580640532005,0.9757769794942244,21216
