arm,alpha,rho,x0_n,x0,n,q,wilson_lo,wilson_hi,claimboot_lo,claimboot_hi,undecided,q_d05,q_d2,q_excl_und
A,0.2,0,4,0.125,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.0,0.0,0.0,0.0
A,0.2,0,8,0.25,40,0.025,0.0044267174077949195,0.1288165948800778,0.0,0.075,0.0,0.025,0.0,0.025
A,0.2,0,12,0.375,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.0,0.0,0.0,0.0
A,0.2,0,16,0.5,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.0,0.0,0.0,0.0
A,0.2,0,20,0.625,40,0.1,0.03957888759557486,0.23052074380473897,0.0,0.3,0.0,0.1,0.1,0.1
A,0.2,0,24,0.75,40,0.275,0.1610785343314309,0.4283525083312457,0.075,0.45,0.0,0.275,0.275,0.275
A,0.3,0,4,0.125,40,0.0,-6.938893903907228e-18,0.08762453925039232,0.0,0.0,0.025,0.0,0.0,0.0
A,0.3,0,8,0.25,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.0625,0.0625,0.0,0.0
A,0.3,0,12,0.375,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.0,0.0,0.0,0.0
A,0.3,0,16,0.5,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.125,0.0,0.0,0.0
A,0.3,0,20,0.625,40,0.075,0.025835556771858226,0.19864530159097524,0.0,0.15,0.2,0.1,0.05,0.09375
A,0.3,0,24,0.75,40,0.4,0.2634811061240136,0.5540438017260649,0.15,0.65,0.075,0.425,0.4,0.43243243243243246
A,0.38,0,4,0.125,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.0,0.0,0.0,0.0
A,0.38,0,8,0.25,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.0625,0.0,0.0,0.0
A,0.38,0,12,0.375,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.125,0.0,0.0,0.0
A,0.38,0,16,0.5,40,0.025,0.0044267174077949195,0.1288165948800778,0.0,0.075,0.075,0.025,0.0,0.02702702702702703
A,0.38,0,20,0.625,40,0.15,0.07061091708507435,0.2907262603902003,0.0,0.375,0.05,0.2,0.15,0.15789473684210525
A,0.38,0,24,0.75,40,0.35,0.2213433317104915,0.5049440300646263,0.15,0.55,0.125,0.35,0.325,0.4
A,0.45,0,4,0.125,40,0.0,-6.938893903907228e-18,0.08762453925039232,0.0,0.0,0.025,0.0,0.0,0.0
A,0.45,0,8,0.25,40,0.0,-6.938893903907228e-18,0.08762453925039232,0.0,0.0,0.15,0.0,0.0,0.0
A,0.45,0,12,0.375,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.125,0.0,0.0,0.0
A,0.45,0,16,0.5,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.125,0.0,0.0,0.0
A,0.45,0,20,0.625,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.3125,0.0625,0.0,0.0
A,0.45,0,24,0.75,40,0.45,0.30705075280944694,0.6017117011155924,0.15,0.65,0.075,0.475,0.45,0.4864864864864865
A,0.55,0,4,0.125,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.0625,0.0,0.0,0.0
A,0.55,0,8,0.25,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.125,0.0,0.0,0.0
A,0.55,0,12,0.375,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.125,0.0,0.0,0.0
A,0.55,0,16,0.5,40,0.1,0.03957888759557486,0.23052074380473897,0.0,0.2,0.175,0.125,0.05,0.12121212121212122
A,0.55,0,20,0.625,40,0.225,0.1231595325467853,0.3750339640409305,0.05,0.475,0.175,0.225,0.15,0.2727272727272727
A,0.55,0,24,0.75,40,0.375,0.2422277353579172,0.529678399454681,0.125,0.6,0.075,0.4,0.3,0.40540540540540543
A,1.0,0,4,0.125,16,0.125,0.034976749337057134,0.3602333143674828,0.0,0.375,0.1875,0.1875,0.125,0.15384615384615385
A,1.0,0,8,0.25,16,0.0625,0.01111905730833121,0.2832926836802987,0.0,0.1875,0.125,0.125,0.0,0.07142857142857142
A,1.0,0,12,0.375,16,0.0625,0.01111905730833121,0.2832926836802987,0.0,0.1875,0.3125,0.125,0.0,0.09090909090909091
A,1.0,0,16,0.5,40,0.225,0.1231595325467853,0.3750339640409305,0.05,0.4,0.275,0.3,0.15,0.3103448275862069
A,1.0,0,20,0.625,40,0.425,0.28509168524815875,0.5780519956394001,0.15,0.7,0.125,0.45,0.3,0.4857142857142857
A,1.0,0,24,0.75,40,0.4,0.2634811061240136,0.5540438017260649,0.15,0.675,0.275,0.525,0.325,0.5517241379310345
A,0.3,1,4,0.125,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.0,0.0,0.0,0.0
A,0.3,1,8,0.25,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.0,0.0,0.0,0.0
A,0.3,1,12,0.375,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.0625,0.0,0.0,0.0
A,0.3,1,16,0.5,16,0.0,0.0,0.19361341827271994,0.0,0.0,0.0625,0.0,0.0,0.0
A,0.3,1,20,0.625,16,0.0625,0.01111905730833121,0.2832926836802987,0.0,0.1875,0.0,0.0625,0.0625,0.0625
A,0.3,1,24,0.75,16,0.3125,0.14164435051961052,0.5559606813326594,0.0,0.625,0.0625,0.3125,0.25,0.3333333333333333
