name,alpha,x0_n,rho,claim_id,q_roll,wrong_roll
B1_armA_a0.30_x04_r00,0.3,4,0,2070,0.0,0.995
B1_armA_a0.30_x04_r01,0.3,4,0,382,0.01,0.99
B1_armA_a0.30_x04_r02,0.3,4,0,6,0.01,0.975
B1_armA_a0.30_x04_r03,0.3,4,0,1569,0.09,0.815
B1_armA_a0.30_x04_r04,0.3,4,0,382,0.005,0.995
B1_armA_a0.30_x04_r05,0.3,4,0,6,0.005,0.99
B1_armA_a0.30_x04_r06,0.3,4,0,1569,0.14,0.765
B1_armA_a0.30_x04_r07,0.3,4,0,2070,0.0,0.995
B1_armA_a0.30_x04_r08,0.3,4,0,2070,0.0,0.995
B1_armA_a0.30_x04_r09,0.3,4,0,1569,0.215,0.695
B1_armA_a0.30_x04_r10,0.3,4,0,6,0.0,0.985
B1_armA_a0.30_x04_r11,0.3,4,0,382,0.005,0.985
B1_armA_a0.30_x04_r12,0.3,4,0,2070,0.0,0.985
B1_armA_a0.30_x04_r13,0.3,4,0,6,0.015,0.975
B1_armA_a0.30_x04_r14,0.3,4,0,1569,0.255,0.625
B1_armA_a0.30_x04_r15,0.3,4,0,382,0.0,0.99
B1_armA_a0.30_x08_r00,0.3,8,0,1569,0.43,0.47
B1_armA_a0.30_x08_r01,0.3,8,0,382,0.03,0.965
B1_armA_a0.30_x08_r02,0.3,8,0,2070,0.06,0.91
B1_armA_a0.30_x08_r03,0.3,8,0,6,0.03,0.94
B1_armA_a0.30_x08_r04,0.3,8,0,2070,0.02,0.975
B1_armA_a0.30_x08_r05,0.3,8,0,1569,0.53,0.375
B1_armA_a0.30_x08_r06,0.3,8,0,382,0.01,0.985
B1_armA_a0.30_x08_r07,0.3,8,0,6,0.195,0.775
B1_armA_a0.30_x08_r08,0.3,8,0,1569,0.37,0.49
B1_armA_a0.30_x08_r09,0.3,8,0,6,0.15,0.815
B1_armA_a0.30_x08_r10,0.3,8,0,2070,0.035,0.95
B1_armA_a0.30_x08_r11,0.3,8,0,382,0.005,0.985
B1_armA_a0.30_x08_r12,0.3,8,0,6,0.105,0.835
B1_armA_a0.30_x08_r13,0.3,8,0,1569,0.315,0.6
B1_armA_a0.30_x08_r14,0.3,8,0,382,0.085,0.895
B1_armA_a0.30_x08_r15,0.3,8,0,2070,0.01,0.965
B1_armA_a0.30_x12_r00,0.3,12,0,382,0.135,0.81
B1_armA_a0.30_x12_r01,0.3,12,0,1569,0.725,0.18
B1_armA_a0.30_x12_r02,0.3,12,0,2070,0.15,0.795
B1_armA_a0.30_x12_r03,0.3,12,0,6,0.495,0.44
B1_armA_a0.30_x12_r04,0.3,12,0,2070,0.27,0.66
B1_armA_a0.30_x12_r05,0.3,12,0,1569,0.935,0.035
B1_armA_a0.30_x12_r06,0.3,12,0,382,0.33,0.605
B1_armA_a0.30_x12_r07,0.3,12,0,6,0.315,0.605
B1_armA_a0.30_x12_r08,0.3,12,0,2070,0.145,0.795
B1_armA_a0.30_x12_r09,0.3,12,0,382,0.23,0.695
B1_armA_a0.30_x12_r10,0.3,12,0,1569,0.95,0.03
B1_armA_a0.30_x12_r11,0.3,12,0,6,0.315,0.59
B1_armA_a0.30_x12_r12,0.3,12,0,382,0.2,0.72
B1_armA_a0.30_x12_r13,0.3,12,0,1569,0.995,0.005
B1_armA_a0.30_x12_r14,0.3,12,0,2070,0.155,0.775
B1_armA_a0.30_x12_r15,0.3,12,0,6,0.245,0.66
B1_armA_a0.30_x16_r00,0.3,16,0,1569,0.99,0.01
B1_armA_a0.30_x16_r01,0.3,16,0,2070,0.75,0.19
B1_armA_a0.30_x16_r02,0.3,16,0,382,0.78,0.16
B1_armA_a0.30_x16_r03,0.3,16,0,6,0.93,0.035
B1_armA_a0.30_x16_r04,0.3,16,0,6,0.885,0.07
B1_armA_a0.30_x16_r05,0.3,16,0,1569,0.985,0.01
B1_armA_a0.30_x16_r06,0.3,16,0,2070,0.92,0.05
B1_armA_a0.30_x16_r07,0.3,16,0,382,0.82,0.15
B1_armA_a0.30_x16_r08,0.3,16,0,2070,0.675,0.295
B1_armA_a0.30_x16_r09,0.3,16,0,6,0.88,0.08
B1_armA_a0.30_x16_r10,0.3,16,0,1569,0.99,0.01
B1_armA_a0.30_x16_r11,0.3,16,0,382,0.855,0.09
B1_armA_a0.30_x16_r12,0.3,16,0,2070,0.905,0.07
B1_armA_a0.30_x16_r13,0.3,16,0,1569,0.995,0.005
B1_armA_a0.30_x16_r14,0.3,16,0,6,0.815,0.13
B1_armA_a0.30_x16_r15,0.3,16,0,382,0.725,0.225
B1_armA_a0.30_x20_r00,0.3,20,0,2070,0.98,0.015
