claim_id,alpha,x0_n,rep,x8,n_parse_fail,set
1103,0.3,4,0,0.8125,0,A1
1103,0.3,4,1,0.90625,0,A1
1103,0.3,4,2,0.84375,0,A1
1103,0.3,4,3,0.84375,0,A1
1103,0.3,4,4,0.875,0,A1
1103,0.3,4,5,0.96875,0,A1
1103,0.3,4,6,0.65625,0,A1
1103,0.3,4,7,0.84375,0,A1
1103,0.3,4,8,0.78125,0,A1
1103,0.3,4,9,0.78125,0,A1
1103,0.3,4,10,0.90625,0,A1
1103,0.3,4,11,0.78125,0,A1
1103,0.3,12,0,0.71875,0,A1
1103,0.3,12,1,0.96875,0,A1
1103,0.3,12,2,0.875,0,A1
1103,0.3,12,3,1.0,0,A1
1103,0.3,12,4,0.8125,0,A1
1103,0.3,12,5,0.90625,0,A1
1103,0.3,12,6,0.84375,0,A1
1103,0.3,12,7,0.75,0,A1
1103,0.3,12,8,0.9375,0,A1
1103,0.3,12,9,0.84375,0,A1
1103,0.3,12,10,0.875,0,A1
1103,0.3,12,11,0.96875,0,A1
1103,0.3,20,0,0.9375,0,A1
1103,0.3,20,1,0.96875,0,A1
1103,0.3,20,2,0.96875,0,A1
1103,0.3,20,3,0.71875,0,A1
1103,0.3,20,4,0.9375,0,A1
1103,0.3,20,5,1.0,0,A1
1103,0.3,20,6,1.0,0,A1
1103,0.3,20,7,0.78125,0,A1
1103,0.3,20,8,0.875,0,A1
1103,0.3,20,9,0.78125,0,A1
1103,0.3,20,10,0.875,0,A1
1103,0.3,20,11,0.9375,0,A1
1103,0.3,28,0,0.875,0,A1
1103,0.3,28,1,0.75,0,A1
1103,0.3,28,2,0.96875,0,A1
1103,0.3,28,3,1.0,0,A1
1103,0.3,28,4,0.96875,0,A1
1103,0.3,28,5,0.9375,0,A1
1103,0.3,28,6,0.9375,0,A1
1103,0.3,28,7,0.84375,0,A1
1103,0.3,28,8,0.8125,0,A1
1103,0.3,28,9,1.0,0,A1
1103,0.3,28,10,0.96875,0,A1
1103,0.3,28,11,0.96875,0,A1
1103,0.55,4,0,0.6875,0,A1
1103,0.55,4,1,0.40625,0,A1
1103,0.55,4,2,0.59375,0,A1
1103,0.55,4,3,0.6875,0,A1
1103,0.55,4,4,0.59375,0,A1
1103,0.55,4,5,0.65625,0,A1
1103,0.55,4,6,0.90625,0,A1
1103,0.55,4,7,0.625,0,A1
1103,0.55,4,8,0.78125,0,A1
1103,0.55,4,9,0.75,0,A1
1103,0.55,4,10,0.71875,0,A1
1103,0.55,4,11,0.59375,0,A1
1103,0.55,12,0,0.8125,0,A1
1103,0.55,12,1,0.875,0,A1
1103,0.55,12,2,0.78125,0,A1
1103,0.55,12,3,0.75,0,A1
1103,0.55,12,4,0.84375,0,A1
1103,0.55,12,5,0.75,0,A1
1103,0.55,12,6,0.71875,0,A1
1103,0.55,12,7,0.84375,0,A1
1103,0.55,12,8,0.5625,0,A1
1103,0.55,12,9,0.59375,0,A1
1103,0.55,12,10,0.84375,0,A1
1103,0.55,12,11,0.8125,0,A1
1103,0.55,20,0,0.5,0,A1
1103,0.55,20,1,0.8125,0,A1
1103,0.55,20,2,0.8125,0,A1
1103,0.55,20,3,0.8125,0,A1
1103,0.55,20,4,0.84375,0,A1
1103,0.55,20,5,0.8125,0,A1
1103,0.55,20,6,0.8125,0,A1
1103,0.55,20,7,0.8125,0,A1
1103,0.55,20,8,0.8125,0,A1
1103,0.55,20,9,0.78125,0,A1
1103,0.55,20,10,0.65625,0,A1
1103,0.55,20,11,0.9375,0,A1
1103,0.55,28,0,0.78125,0,A1
1103,0.55,28,1,0.8125,0,A1
1103,0.55,28,2,0.875,0,A1
1103,0.55,28,3,0.75,0,A1
1103,0.55,28,4,0.75,0,A1
1103,0.55,28,5,0.78125,0,A1
1103,0.55,28,6,0.71875,0,A1
1103,0.55,28,7,0.78125,0,A1
1103,0.55,28,8,0.78125,0,A1
1103,0.55,28,9,0.875,0,A1
1103,0.55,28,10,0.84375,0,A1
1103,0.55,28,11,0.75,0,A1
1239,0.3,4,0,1.0,0,A1
1239,0.3,4,1,1.0,0,A1
1239,0.3,4,2,1.0,0,A1
1239,0.3,4,3,1.0,0,A1
1239,0.3,4,4,1.0,0,A1
1239,0.3,4,5,1.0,0,A1
1239,0.3,4,6,1.0,0,A1
1239,0.3,4,7,1.0,0,A1
1239,0.3,4,8,1.0,0,A1
1239,0.3,4,9,1.0,0,A1
1239,0.3,4,10,1.0,0,A1
1239,0.3,4,11,1.0,0,A1
1239,0.3,12,0,1.0,0,A1
1239,0.3,12,1,1.0,0,A1
1239,0.3,12,2,1.0,0,A1
1239,0.3,12,3,1.0,0,A1
1239,0.3,12,4,1.0,0,A1
1239,0.3,12,5,1.0,0,A1
1239,0.3,12,6,1.0,0,A1
1239,0.3,12,7,1.0,0,A1
1239,0.3,12,8,1.0,0,A1
1239,0.3,12,9,1.0,0,A1
1239,0.3,12,10,1.0,0,A1
1239,0.3,12,11,1.0,0,A1
1239,0.3,20,0,1.0,0,A1
1239,0.3,20,1,1.0,0,A1
1239,0.3,20,2,1.0,0,A1
1239,0.3,20,3,1.0,0,A1
1239,0.3,20,4,1.0,0,A1
1239,0.3,20,5,1.0,0,A1
1239,0.3,20,6,1.0,0,A1
1239,0.3,20,7,1.0,0,A1
1239,0.3,20,8,1.0,0,A1
1239,0.3,20,9,1.0,0,A1
1239,0.3,20,10,1.0,0,A1
1239,0.3,20,11,1.0,0,A1
1239,0.3,28,0,1.0,0,A1
1239,0.3,28,1,1.0,0,A1
1239,0.3,28,2,1.0,0,A1
1239,0.3,28,3,1.0,0,A1
1239,0.3,28,4,1.0,0,A1
1239,0.3,28,5,1.0,0,A1
1239,0.3,28,6,1.0,0,A1
1239,0.3,28,7,1.0,0,A1
1239,0.3,28,8,1.0,0,A1
1239,0.3,28,9,1.0,0,A1
1239,0.3,28,10,1.0,0,A1
1239,0.3,28,11,1.0,0,A1
1239,0.55,4,0,1.0,0,A1
1239,0.55,4,1,1.0,0,A1
1239,0.55,4,2,1.0,0,A1
1239,0.55,4,3,1.0,0,A1
1239,0.55,4,4,1.0,0,A1
1239,0.55,4,5,1.0,0,A1
1239,0.55,4,6,1.0,0,A1
1239,0.55,4,7,1.0,0,A1
1239,0.55,4,8,1.0,0,A1
1239,0.55,4,9,1.0,0,A1
1239,0.55,4,10,1.0,0,A1
1239,0.55,4,11,1.0,0,A1
1239,0.55,12,0,1.0,0,A1
1239,0.55,12,1,1.0,0,A1
1239,0.55,12,2,1.0,0,A1
1239,0.55,12,3,1.0,0,A1
1239,0.55,12,4,1.0,0,A1
1239,0.55,12,5,1.0,0,A1
1239,0.55,12,6,1.0,0,A1
1239,0.55,12,7,1.0,0,A1
1239,0.55,12,8,1.0,0,A1
1239,0.55,12,9,1.0,0,A1
1239,0.55,12,10,1.0,0,A1
1239,0.55,12,11,1.0,0,A1
1239,0.55,20,0,1.0,0,A1
1239,0.55,20,1,1.0,0,A1
1239,0.55,20,2,1.0,0,A1
1239,0.55,20,3,1.0,0,A1
1239,0.55,20,4,1.0,0,A1
1239,0.55,20,5,1.0,0,A1
1239,0.55,20,6,1.0,0,A1
1239,0.55,20,7,1.0,0,A1
1239,0.55,20,8,1.0,0,A1
1239,0.55,20,9,1.0,0,A1
1239,0.55,20,10,1.0,0,A1
1239,0.55,20,11,1.0,0,A1
1239,0.55,28,0,1.0,0,A1
1239,0.55,28,1,1.0,0,A1
1239,0.55,28,2,1.0,0,A1
1239,0.55,28,3,1.0,0,A1
1239,0.55,28,4,1.0,0,A1
1239,0.55,28,5,1.0,0,A1
1239,0.55,28,6,1.0,0,A1
1239,0.55,28,7,1.0,0,A1
1239,0.55,28,8,1.0,0,A1
1239,0.55,28,9,1.0,0,A1
1239,0.55,28,10,1.0,0,A1
1239,0.55,28,11,1.0,0,A1
993,0.3,4,0,0.15625,0,A1
993,0.3,4,1,0.84375,0,A1
993,0.3,4,2,0.96875,0,A1
993,0.3,4,3,1.0,0,A1
993,0.3,4,4,0.0625,0,A1
993,0.3,4,5,1.0,0,A1
993,0.3,4,6,1.0,0,A1
993,0.3,4,7,0.96875,0,A1
993,0.3,4,8,0.875,0,A1
993,0.3,4,9,1.0,0,A1
993,0.3,4,10,1.0,0,A1
993,0.3,4,11,0.96875,0,A1
993,0.3,12,0,1.0,0,A1
993,0.3,12,1,1.0,0,A1
993,0.3,12,2,1.0,0,A1
993,0.3,12,3,1.0,0,A1
993,0.3,12,4,1.0,0,A1
993,0.3,12,5,1.0,0,A1
993,0.3,12,6,1.0,0,A1
993,0.3,12,7,1.0,0,A1
993,0.3,12,8,1.0,0,A1
993,0.3,12,9,1.0,0,A1
993,0.3,12,10,1.0,0,A1
993,0.3,12,11,1.0,0,A1
993,0.3,20,0,1.0,0,A1
993,0.3,20,1,1.0,0,A1
993,0.3,20,2,1.0,0,A1
993,0.3,20,3,1.0,0,A1
993,0.3,20,4,1.0,0,A1
993,0.3,20,5,1.0,0,A1
993,0.3,20,6,1.0,0,A1
993,0.3,20,7,1.0,0,A1
993,0.3,20,8,1.0,0,A1
993,0.3,20,9,1.0,0,A1
993,0.3,20,10,1.0,0,A1
993,0.3,20,11,1.0,0,A1
993,0.3,28,0,1.0,0,A1
993,0.3,28,1,1.0,0,A1
993,0.3,28,2,1.0,0,A1
993,0.3,28,3,1.0,0,A1
993,0.3,28,4,1.0,0,A1
993,0.3,28,5,1.0,0,A1
993,0.3,28,6,1.0,0,A1
993,0.3,28,7,1.0,0,A1
993,0.3,28,8,1.0,0,A1
993,0.3,28,9,1.0,0,A1
993,0.3,28,10,1.0,0,A1
993,0.3,28,11,1.0,0,A1
993,0.55,4,0,0.9375,0,A1
993,0.55,4,1,1.0,0,A1
993,0.55,4,2,1.0,0,A1
993,0.55,4,3,1.0,0,A1
993,0.55,4,4,1.0,0,A1
993,0.55,4,5,0.875,0,A1
993,0.55,4,6,0.96875,0,A1
993,0.55,4,7,1.0,0,A1
993,0.55,4,8,1.0,0,A1
993,0.55,4,9,0.96875,0,A1
993,0.55,4,10,0.9375,0,A1
993,0.55,4,11,1.0,0,A1
993,0.55,12,0,1.0,0,A1
993,0.55,12,1,1.0,0,A1
993,0.55,12,2,1.0,0,A1
993,0.55,12,3,1.0,0,A1
993,0.55,12,4,1.0,0,A1
993,0.55,12,5,1.0,0,A1
993,0.55,12,6,1.0,0,A1
993,0.55,12,7,1.0,0,A1
993,0.55,12,8,1.0,0,A1
993,0.55,12,9,1.0,0,A1
993,0.55,12,10,1.0,0,A1
993,0.55,12,11,1.0,0,A1
993,0.55,20,0,1.0,0,A1
993,0.55,20,1,1.0,0,A1
993,0.55,20,2,1.0,0,A1
993,0.55,20,3,1.0,0,A1
993,0.55,20,4,1.0,0,A1
993,0.55,20,5,1.0,0,A1
993,0.55,20,6,1.0,0,A1
993,0.55,20,7,1.0,0,A1
993,0.55,20,8,1.0,0,A1
993,0.55,20,9,1.0,0,A1
993,0.55,20,10,1.0,0,A1
993,0.55,20,11,1.0,0,A1
993,0.55,28,0,1.0,0,A1
993,0.55,28,1,1.0,0,A1
993,0.55,28,2,1.0,0,A1
993,0.55,28,3,1.0,0,A1
993,0.55,28,4,1.0,0,A1
993,0.55,28,5,1.0,0,A1
993,0.55,28,6,1.0,0,A1
993,0.55,28,7,1.0,0,A1
993,0.55,28,8,1.0,0,A1
993,0.55,28,9,1.0,0,A1
993,0.55,28,10,1.0,0,A1
993,0.55,28,11,1.0,0,A1
90006,0.3,4,0,1.0,0,A2
90006,0.3,4,1,1.0,0,A2
90006,0.3,4,2,1.0,0,A2
90006,0.3,4,3,1.0,0,A2
90006,0.3,4,4,0.8125,0,A2
90006,0.3,4,5,1.0,0,A2
90006,0.3,4,6,1.0,0,A2
90006,0.3,4,7,1.0,0,A2
90006,0.3,4,8,1.0,0,A2
90006,0.3,4,9,1.0,0,A2
90006,0.3,4,10,1.0,0,A2
90006,0.3,4,11,1.0,0,A2
90006,0.3,12,0,1.0,0,A2
90006,0.3,12,1,1.0,0,A2
90006,0.3,12,2,1.0,0,A2
90006,0.3,12,3,1.0,0,A2
90006,0.3,12,4,1.0,0,A2
90006,0.3,12,5,1.0,0,A2
90006,0.3,12,6,1.0,0,A2
90006,0.3,12,7,1.0,0,A2
90006,0.3,12,8,1.0,0,A2
90006,0.3,12,9,1.0,0,A2
90006,0.3,12,10,1.0,0,A2
90006,0.3,12,11,1.0,0,A2
90006,0.3,20,0,1.0,0,A2
90006,0.3,20,1,1.0,0,A2
90006,0.3,20,2,1.0,0,A2
90006,0.3,20,3,1.0,0,A2
90006,0.3,20,4,1.0,0,A2
90006,0.3,20,5,1.0,0,A2
90006,0.3,20,6,1.0,0,A2
90006,0.3,20,7,1.0,0,A2
90006,0.3,20,8,1.0,0,A2
90006,0.3,20,9,1.0,0,A2
90006,0.3,20,10,1.0,0,A2
90006,0.3,20,11,1.0,0,A2
90006,0.3,28,0,1.0,0,A2
90006,0.3,28,1,1.0,0,A2
90006,0.3,28,2,1.0,0,A2
90006,0.3,28,3,1.0,0,A2
90006,0.3,28,4,1.0,0,A2
90006,0.3,28,5,1.0,0,A2
90006,0.3,28,6,1.0,0,A2
90006,0.3,28,7,1.0,0,A2
90006,0.3,28,8,1.0,0,A2
90006,0.3,28,9,1.0,0,A2
90006,0.3,28,10,1.0,0,A2
90006,0.3,28,11,1.0,0,A2
90382,0.3,4,0,1.0,0,A2
90382,0.3,4,1,1.0,0,A2
90382,0.3,4,2,1.0,0,A2
90382,0.3,4,3,1.0,0,A2
90382,0.3,4,4,1.0,0,A2
90382,0.3,4,5,1.0,0,A2
90382,0.3,4,6,1.0,0,A2
90382,0.3,4,7,1.0,0,A2
90382,0.3,4,8,1.0,0,A2
90382,0.3,4,9,1.0,0,A2
90382,0.3,4,10,1.0,0,A2
90382,0.3,4,11,1.0,0,A2
90382,0.3,12,0,1.0,0,A2
90382,0.3,12,1,1.0,0,A2
90382,0.3,12,2,1.0,0,A2
90382,0.3,12,3,1.0,0,A2
90382,0.3,12,4,1.0,0,A2
90382,0.3,12,5,1.0,0,A2
90382,0.3,12,6,1.0,0,A2
90382,0.3,12,7,1.0,0,A2
90382,0.3,12,8,1.0,0,A2
90382,0.3,12,9,1.0,0,A2
90382,0.3,12,10,1.0,0,A2
90382,0.3,12,11,1.0,0,A2
90382,0.3,20,0,1.0,0,A2
