variant,orig_id,para_id,p_affirm_orig,n_orig,p_affirm_para,n_para,S
instruct,6,90006,0.5,64,0.421875,64,0.921875
instruct,382,90382,0.359375,64,0.8125,64,1.171875
instruct,1569,91569,0.5625,64,0.71875,64,1.28125
instruct,2070,92070,0.515625,64,1.0,64,1.515625
base,6,90006,0.5,2,0.25,4,0.75
base,382,90382,0.3333333333333333,3,0.0,2,0.3333333333333333
base,1569,91569,0.5,4,0.0,2,0.5
base,2070,92070,0.1666666666666666,6,0.6666666666666666,3,0.8333333333333333
ablit,6,90006,0.609375,64,0.53125,64,1.140625
ablit,382,90382,0.5625,64,0.5625,64,1.125
ablit,1569,91569,0.609375,64,0.671875,64,1.28125
ablit,2070,92070,0.703125,64,0.71875,64,1.421875
