claim_id,alpha,pred_class,pred_xc,obs_class,obs_cross,cross_ci_lo,cross_ci_hi,n_correct,n_wrong,n_undecided,match
97,0.3,mono_correct,,mono_correct,,,,16,0,0,hit
97,0.55,mono_correct,,mono_correct,,,,16,0,0,hit
184,0.3,mono_correct,,mono_correct,,,,16,0,0,hit
184,0.55,mono_correct,,mono_correct,,,,16,0,0,hit
590,0.3,bistable(x_c=0.535),0.535,bistable(cross=0.563),0.5625007276454108,0.4765933666496943,0.6574810945535534,7,9,0,hit
590,0.55,bistable(x_c=0.629),0.629,bistable(cross=0.630),0.6296720657750748,0.5269847510026936,0.7318625406969513,6,10,0,hit
656,0.3,bistable(x_c=0.147),0.147,bistable(cross=0.246),0.24567016395843283,0.14413534515379808,0.36234906905883213,12,4,0,hit
656,0.55,bistable(x_c=0.125),0.125,bistable(cross=0.142),0.1420883231960178,0.097094676040014,0.2435464750214388,14,2,0,hit
832,0.3,bistable(x_c=0.463),0.463,bistable(cross=0.507),0.5072232189701283,0.4105745523347811,0.6084898899201643,8,8,0,hit
832,0.55,bistable(x_c=0.325),0.325,bistable(cross=0.437),0.4374994870453393,0.3520785492239606,0.5450261118467145,9,7,0,hit
1013,0.3,bistable(x_c=0.491),0.491,bistable(cross=0.437),0.4374994870453393,0.35240490750528225,0.5294261552513226,9,7,0,hit
1013,0.55,bistable(x_c=0.415),0.415,bistable(cross=0.357),0.357442457816526,0.3278122394356124,0.4896892704458722,10,6,0,hit
1146,0.3,bistable(x_c=0.129),0.129,mono_correct,,,,16,0,0,partial
1146,0.55,mono_wrong,,bistable(cross=0.063),0.06250091472589954,0.050222875025920065,0.16442474330968748,15,1,0,partial
1151,0.3,bistable(x_c=0.458),0.458,bistable(cross=0.188),0.18750256877594262,0.10057878971859653,0.33332613148600726,13,3,0,hit
1151,0.55,bistable(x_c=0.538),0.538,bistable(cross=0.313),0.3125006020887008,0.22440602552931868,0.41592642525011775,11,4,1,hit
