claim_id,alpha,x0_n,x8,fails
1239,0.55,20,0.0,0
1239,0.3,28,1.0,0
1239,1.0,12,0.0,0
1239,1.0,4,0.0,0
1569,0.3,28,1.0,0
6,0.55,20,1.0,0
91569,1.0,28,1.0,0
91569,0.55,28,1.0,0
1569,0.3,12,1.0,0
6,0.55,20,1.0,0
6,0.3,28,1.0,0
91569,0.55,20,1.0,0
91569,1.0,28,1.0,0
1239,0.3,4,0.0,0
6,0.3,4,0.0,0
91569,0.55,28,1.0,0
1569,0.3,28,1.0,0
91569,1.0,4,1.0,0
1239,0.3,28,1.0,0
91569,1.0,20,1.0,0
91569,0.55,28,1.0,0
1569,1.0,4,1.0,0
1569,1.0,12,1.0,0
1239,0.55,12,0.0,0
6,0.3,4,0.0,0
1569,1.0,4,1.0,0
91569,1.0,12,1.0,0
6,0.3,12,1.0,0
91569,0.55,4,1.0,0
91569,1.0,20,1.0,0
91569,1.0,20,1.0,0
1569,0.55,4,1.0,0
1239,1.0,20,0.28125,0
1239,0.3,28,1.0,0
1569,1.0,12,1.0,0
1569,0.55,28,1.0,0
1239,0.3,4,0.0,0
1239,0.55,20,0.0,0
91569,0.55,28,1.0,0
6,1.0,28,1.0,0
1239,0.55,20,0.0,0
1239,0.3,12,0.0,0
1239,0.55,12,0.0,0
91569,0.55,20,1.0,0
91569,1.0,4,1.0,0
91569,0.3,12,0.09375,0
1239,0.55,20,0.0,0
91569,0.3,4,0.1875,0
1569,0.3,28,1.0,0
91569,1.0,4,1.0,0
1239,0.3,20,0.0,0
1569,0.55,28,1.0,0
6,1.0,20,1.0,0
6,1.0,4,1.0,0
1239,1.0,28,1.0,0
91569,0.55,28,1.0,0
1569,0.55,12,1.0,0
6,0.3,12,1.0,0
1239,0.55,20,0.0,0
6,0.55,28,1.0,0
6,0.3,28,1.0,0
6,1.0,20,1.0,0
91569,0.55,28,1.0,0
1239,0.3,4,0.0,0
6,0.55,4,0.0,0
91569,1.0,20,1.0,0
1569,0.55,12,1.0,0
1569,0.55,4,1.0,0
1569,0.55,4,1.0,0
1239,1.0,28,1.0,0
6,0.3,28,1.0,0
91569,0.55,20,1.0,0
6,0.55,4,0.0,0
1569,1.0,4,1.0,0
1569,0.55,4,1.0,0
91569,0.3,20,1.0,0
91569,0.3,12,1.0,0
6,0.3,28,1.0,0
1569,0.55,28,1.0,0
1569,0.55,20,1.0,0
6,0.55,28,1.0,0
6,1.0,20,1.0,0
1569,0.3,20,1.0,0
6,0.3,12,1.0,0
1569,1.0,4,1.0,0
91569,0.3,28,1.0,0
6,0.55,20,1.0,0
6,0.55,4,1.0,0
6,0.3,28,1.0,0
6,1.0,28,1.0,0
6,1.0,4,1.0,0
91569,0.3,4,0.09375,0
1239,1.0,28,1.0,0
1569,0.55,12,1.0,0
6,0.3,12,1.0,0
6,1.0,20,1.0,0
91569,0.55,12,1.0,0
1239,0.55,4,0.0,0
6,1.0,28,1.0,0
1239,1.0,4,0.0,0
1239,0.3,12,0.0,0
6,1.0,20,1.0,0
91569,0.3,28,1.0,0
1239,0.55,4,0.0,0
6,1.0,12,1.0,0
1239,0.55,28,1.0,0
1569,1.0,20,1.0,0
6,0.3,12,1.0,0
1569,0.3,20,1.0,0
1569,0.3,12,1.0,0
1569,1.0,20,1.0,0
6,0.55,28,1.0,0
91569,0.55,28,1.0,0
1239,0.55,4,0.0,0
6,0.55,20,1.0,0
1239,0.3,28,1.0,0
1569,0.3,20,1.0,0
