delta,model,family,n,a,b,xc,xc_ci_lo,xc_ci_hi,n_boot_ok
0.05,gpt,random,1280,-3.0613006304869326,6.887356043179322,0.44448125104823005,0.4237545242904768,0.4623480636951058,1000
0.05,gpt,square,160,-4.263228472397791,9.578299943124696,0.4450923961154439,0.3870754365093679,0.4828258378888973,1000
0.05,gpt,triangular,160,-4.165344783834691,9.752504195872094,0.4271051516796825,0.3693398617203078,0.4642733412930668,1000
0.05,gma,random,1280,-1.8749132057631155,7.170923358123163,0.2614604998726181,0.22914578549394493,0.29126193672157313,1000
0.05,gma,square,160,-1.5084936295881197,6.94134935640805,0.21731994056681828,0.12027486894462075,0.2989646274366571,1000
0.05,gma,triangular,160,-1.5321901952781296,8.65980539117438,0.17693125030727105,0.09908360325358063,0.24337366716805395,1000
0.05,qwn,random,1280,-0.4318299826807428,3.771531863262806,0.11449723834685054,0.02360384638349411,0.1791824497258834,1000
0.05,qwn,square,160,-0.5456862843343336,3.590748211069341,0.15197007761561365,-0.23652347565791784,0.29905795447875616,1000
0.05,qwn,triangular,160,-0.12611173182482155,3.16014033451762,0.03990700363756849,-0.6513342622592767,0.24677720002789397,1000
0.05,lma,random,1280,-3.121648529237396,7.141380308245991,0.43712117188786304,0.417961085461021,0.45989394143215245,1000
0.05,lma,square,160,-4.239917205068101,8.733127097717396,0.4854981677956228,0.434515861117878,0.5333767053049954,1000
0.05,lma,triangular,160,-3.606762450447875,7.939806427934171,0.4542632724342507,0.40512580080396693,0.5100999626164362,1000
0.1,gpt,random,1280,-3.0633246069864044,6.198929217297673,0.49416996058584023,0.4751920390338192,0.5131650375062257,1000
0.1,gpt,square,160,-4.25301015938839,8.917075533294177,0.47695123176973114,0.4282831362298935,0.5124509572504687,1000
0.1,gpt,triangular,160,-4.678633273173192,10.631382943201636,0.4400775795744428,0.3896525633522262,0.4740231837689469,1000
0.1,gma,random,1280,-1.911483137409198,6.714357241891527,0.2846859451390625,0.25371301983026834,0.31587109418769616,1000
0.1,gma,square,160,-1.6650357460675467,6.536172250746963,0.2547417176585675,0.15199576177618013,0.3416234740408705,1000
0.1,gma,triangular,160,-1.5321901952781296,8.65980539117438,0.17693125030727105,0.09668172469277922,0.24872996084487548,1000
0.1,qwn,random,1280,-0.4945206997519314,3.4916031286684714,0.14163141729699322,0.05322297359805583,0.21109908292284224,1000
0.1,qwn,square,160,-0.5414810015318127,3.4178428374874135,0.15842770638625267,-0.2918995071859481,0.3181090195836562,1000
0.1,qwn,triangular,160,-0.23124716392501063,3.0187845615368083,0.07660273835748216,-0.5349620050145055,0.262573725063406,1000
0.1,lma,random,1280,-3.2902465516928934,7.165541206443555,0.4591762794880261,0.4392833882871886,0.47934532612944886,1000
0.1,lma,square,160,-4.3516398522695505,8.518553302473673,0.5108425923690462,0.45587386772839555,0.5666521094228497,1000
0.1,lma,triangular,160,-3.7465600597690765,8.031617560035446,0.4664764017663886,0.41397261487244263,0.5244451677119726,1000
0.2,gpt,random,1280,-2.888491513578647,4.940539000912546,0.5846510903051522,0.5578350877823155,0.6164868013495308,1000
0.2,gpt,square,160,-3.63487485139522,7.107145294441179,0.5114395021920012,0.46128878255860906,0.5630069931433265,1000
0.2,gpt,triangular,160,-4.46031381041142,9.916063018663776,0.4498069245845175,0.39248766577947153,0.48398044159523096,1000
0.2,gma,random,1280,-1.9257504541924841,5.66694280903362,0.3398217555897447,0.30733661336157647,0.37521670934364254,1000
0.2,gma,square,160,-1.9802364355132407,5.97579115529167,0.33137644607270217,0.2328398334843884,0.41910407662303145,1000
0.2,gma,triangular,160,-1.6307265804013529,8.84122009548728,0.18444587543225005,0.1041449958133734,0.2555780486256341,1000
0.2,qwn,random,1280,-0.6751355981580175,3.2469413430906395,0.20792971810059915,0.12514748925341537,0.2685192976537683,1000
0.2,qwn,square,160,-0.7020009220488617,3.086014792362877,0.22747814553129822,-0.09690732869305757,0.38022982963015783,1000
0.2,qwn,triangular,160,-0.30603309112402705,3.0852897831721626,0.09919103637953157,-0.4843484932604357,0.28789102594313154,1000
0.2,lma,random,1280,-3.3905626046809423,6.931723948097013,0.4891369924810355,0.4676070653064687,0.5104449475786031,1000
0.2,lma,square,160,-4.868777094880309,9.240071813342292,0.5269198327928567,0.4821105158215085,0.5694788671407467,1000
0.2,lma,triangular,160,-3.84114736316827,7.907928231892776,0.48573371564967843,0.43171095677452803,0.542115013201083,1000
