model,family,w_T_label,w_T,xc_hmf,n_interior_roots,n_unstable,all_roots
gpt,random,1,1.0,0.4999999999999999,1,1,0.5000(unstable)
gpt,random,table3,1.1591712986356746,0.2702542541515609,1,1,0.2703(unstable)
gpt,square,1,1.0,0.5,1,1,0.5000(unstable)
gpt,square,table3,1.1591712986356746,0.2948996659469926,1,1,0.2949(unstable)
gpt,triangular,1,1.0,0.5,1,1,0.5000(unstable)
gpt,triangular,table3,1.1591712986356746,0.2785402230473335,1,1,0.2785(unstable)
gma,random,1,1.0,0.4999999999999999,1,1,0.5000(unstable)
gma,random,table3,1.71,0.19170742016573344,1,1,0.1917(unstable)
gma,square,1,1.0,0.5,1,1,0.5000(unstable)
gma,square,table3,1.71,0.2948996659469926,1,1,0.2949(unstable)
gma,triangular,1,1.0,0.5,1,1,0.5000(unstable)
gma,triangular,table3,1.71,0.2785402230473335,1,1,0.2785(unstable)
qwn,random,1,1.0,0.4999999999999999,1,1,0.5000(unstable)
qwn,random,table3,1.3316062176165804,0.26935409101378127,1,1,0.2694(unstable)
qwn,square,1,1.0,0.5,1,1,0.5000(unstable)
qwn,square,table3,1.3316062176165804,0.2948996659469926,1,1,0.2949(unstable)
qwn,triangular,1,1.0,0.5,1,1,0.5000(unstable)
qwn,triangular,table3,1.3316062176165804,0.2785402230473335,1,1,0.2785(unstable)
lma,random,1,1.0,0.4999999999999999,1,1,0.5000(unstable)
lma,random,table3,1.3763440860215053,0.24931056217858005,1,1,0.2493(unstable)
lma,square,1,1.0,0.5,1,1,0.5000(unstable)
lma,square,table3,1.3763440860215053,0.2948996659469926,1,1,0.2949(unstable)
lma,triangular,1,1.0,0.5,1,1,0.5000(unstable)
lma,triangular,table3,1.3763440860215053,0.2785402230473335,1,1,0.2785(unstable)
