model,alpha,Ek,x,stability,h,beta
gpt,0.1,14.348020496234245,0.4975625014819527,unstable,0.138,2.9585
gpt,0.15,11.79004296848671,0.4968896188629679,unstable,0.138,2.9585
gpt,0.2,10.119499085585277,0.49622077784299257,unstable,0.138,2.9585
gpt,0.25,8.927251374086925,0.4955473104242829,unstable,0.138,2.9585
gpt,0.3,8.026130444333326,0.49486721166803926,unstable,0.138,2.9585
gpt,0.35,7.31705197051372,0.4941853278916142,unstable,0.138,2.9585
gpt,0.4,6.742142529434745,0.4934535840854497,unstable,0.138,2.9585
gpt,0.45,6.265105451174446,0.492700920253325,unstable,0.138,2.9585
gpt,0.5,5.8619109397447335,0.4920064606772572,unstable,0.138,2.9585
gpt,0.55,5.515958159886482,1.52678630471808e-06,stable,0.138,2.9585
gpt,0.55,5.515958159886482,0.49135804810720485,unstable,0.138,2.9585
gpt,0.55,5.515958159886482,0.9999988419782444,stable,0.138,2.9585
gpt,0.6,5.215377221626895,2.9940221590887526e-06,stable,0.138,2.9585
gpt,0.6,5.215377221626895,0.49065258376199816,unstable,0.138,2.9585
gpt,0.6,5.215377221626895,0.9999977300076452,stable,0.138,2.9585
gpt,0.65,4.951435933650238,5.42414009135928e-06,stable,0.138,2.9585
gpt,0.65,4.951435933650238,0.4897949150205292,unstable,0.138,2.9585
gpt,0.65,4.951435933650238,0.9999958900240145,stable,0.138,2.9585
gpt,0.7,4.717552125575771,9.207700484327845e-06,stable,0.138,2.9585
gpt,0.7,4.717552125575771,0.4887661657875306,unstable,0.138,2.9585
gpt,0.7,4.717552125575771,0.9999930291824126,stable,0.138,2.9585
gpt,0.75,4.508658521018562,1.4821993888763993e-05,stable,0.138,2.9585
gpt,0.75,4.508658521018562,0.48762585079292275,unstable,0.138,2.9585
gpt,0.75,4.508658521018562,0.9999887919811947,stable,0.138,2.9585
gpt,0.8,4.3207859278794105,2.2855021171588338e-05,stable,0.138,2.9585
gpt,0.8,4.3207859278794105,0.48647556291379157,unstable,0.138,2.9585
gpt,0.8,4.3207859278794105,0.9999827438354487,stable,0.138,2.9585
gpt,0.85,4.150784957425504,3.4035883084350974e-05,stable,0.138,2.9585
gpt,0.85,4.150784957425504,0.4854165357192137,unstable,0.138,2.9585
gpt,0.85,4.150784957425504,0.9999743504029757,stable,0.138,2.9585
gpt,0.9,3.996132352265777,4.925975014931876e-05,stable,0.138,2.9585
gpt,0.9,3.996132352265777,0.48451895881412876,unstable,0.138,2.9585
gpt,0.9,3.996132352265777,0.9999629618216457,stable,0.138,2.9585
gpt,0.95,3.8547861661368987,6.959645925048554e-05,stable,0.138,2.9585
gpt,0.95,3.8547861661368987,0.48380847894878454,unstable,0.138,2.9585
gpt,0.95,3.8547861661368987,0.9999478103297161,stable,0.138,2.9585
gpt,1.0,3.7250704942696817,9.627849029422055e-05,stable,0.138,2.9585
gpt,1.0,3.7250704942696817,0.4832677476395656,unstable,0.138,2.9585
gpt,1.0,3.7250704942696817,0.9999280245847595,stable,0.138,2.9585
gpt,1.05,3.6055829386563936,0.00013067241088456186,stable,0.138,2.9585
gpt,1.05,3.6055829386563936,0.4828472803494035,unstable,0.138,2.9585
gpt,1.05,3.6055829386563936,0.9999026576206476,stable,0.138,2.9585
gpt,1.1,3.49512412333907,0.00017424383628012537,stable,0.138,2.9585
gpt,1.1,3.49512412333907,0.48247947089828824,unstable,0.138,2.9585
gpt,1.1,3.49512412333907,0.9998707208757813,stable,0.138,2.9585
gpt,1.15,3.3926491011996207,0.00022852773445479084,stable,0.138,2.9585
gpt,1.15,3.3926491011996207,0.4820912386340124,unstable,0.138,2.9585
gpt,1.15,3.3926491011996207,0.9998312154377218,stable,0.138,2.9585
gpt,1.2,3.297238205584458,0.0002951140685924381,stable,0.138,2.9585
gpt,1.2,3.297238205584458,0.4816130786819729,unstable,0.138,2.9585
gpt,1.2,3.297238205584458,0.9997831531414467,stable,0.138,2.9585
gpt,1.25,3.208082497680546,0.0003756551625696572,stable,0.138,2.9585
gpt,1.25,3.208082497680546,0.480984175268968,unstable,0.138,2.9585
gpt,1.25,3.208082497680546,0.9997255630187747,stable,0.138,2.9585
gpt,1.3,3.1244778965202817,0.0004718976656536637,stable,0.138,2.9585
gpt,1.3,3.1244778965202817,0.48015431221866745,unstable,0.138,2.9585
gpt,1.3,3.1244778965202817,0.9996574814341657,stable,0.138,2.9585
gpt,1.35,3.0458225486093227,0.0005857396891233422,stable,0.138,2.9585
gpt,1.35,3.0458225486093227,0.4790836633531639,unstable,0.138,2.9585
gpt,1.35,3.0458225486093227,0.9995779262326521,stable,0.138,2.9585
gpt,1.4,2.9716134772964704,0.0007193128236088963,stable,0.138,2.9585
gpt,1.4,2.9716134772964704,0.477741454699969,unstable,0.138,2.9585
gpt,1.4,2.9716134772964704,0.9994858562156232,stable,0.138,2.9585
gpt,1.45,2.901440359125475,0.0008750889736519839,stable,0.138,2.9585
gpt,1.45,2.901440359125475,0.47610422407889175,unstable,0.138,2.9585
gpt,1.45,2.901440359125475,0.9993801174952881,stable,0.138,2.9585
gpt,1.5,2.834975874764509,0.0010560127097441314,stable,0.138,2.9585
gpt,1.5,2.834975874764509,0.4741541252302124,unstable,0.138,2.9585
gpt,1.5,2.834975874764509,0.9992593781880916,stable,0.138,2.9585
gpt,1.55,2.7719632041370468,0.0012656606349874034,stable,0.138,2.9585
gpt,1.55,2.7719632041370468,0.47187750399380346,unstable,0.138,2.9585
gpt,1.55,2.7719632041370468,0.9991220528375258,stable,0.138,2.9585
gpt,1.6,2.712201830353747,0.0015084297517728037,stable,0.138,2.9585
gpt,1.6,2.712201830353747,0.4692638268274041,unstable,0.138,2.9585
gpt,1.6,2.712201830353747,0.9989662181425232,stable,0.138,2.9585
gpt,1.65,2.6555329727250454,0.0017897568178073375,stable,0.138,2.9585
gpt,1.65,2.6555329727250454,0.4663049551727425,unstable,0.138,2.9585
gpt,1.65,2.6555329727250454,0.9987895220898768,stable,0.138,2.9585
gpt,1.7,2.6018258276052033,0.0021163701542736653,stable,0.138,2.9585
gpt,1.7,2.6018258276052033,0.46299471429788686,unstable,0.138,2.9585
gpt,1.7,2.6018258276052033,0.9985890894127967,stable,0.138,2.9585
gpt,1.75,2.5509654974012386,0.002496574358685305,stable,0.138,2.9585
gpt,1.75,2.5509654974012386,0.4593286858863552,unstable,0.138,2.9585
gpt,1.75,2.5509654974012386,0.9983614273092944,stable,0.138,2.9585
gpt,1.8,2.502843142922365,0.0029405670014915368,stable,0.138,2.9585
gpt,1.8,2.502843142922365,0.4553041482023199,unstable,0.138,2.9585
gpt,1.8,2.502843142922365,0.9981023363691539,stable,0.138,2.9585
gpt,1.85,2.4573485744105774,0.0034607848414955587,stable,0.138,2.9585
gpt,1.85,2.4573485744105774,0.45092008903754355,unstable,0.138,2.9585
gpt,1.85,2.4573485744105774,0.9978068324836129,stable,0.138,2.9585
gpt,1.9,2.4143652399570135,0.004072275656972518,stable,0.138,2.9585
gpt,1.9,2.4143652399570135,0.44617722112835034,unstable,0.138,2.9585
gpt,1.9,2.4143652399570135,0.9974690859325615,stable,0.138,2.9585
gpt,1.95,2.3737673890340147,0.0047930908324657455,stable,0.138,2.9585
gpt,1.95,2.3737673890340147,0.44107793573838516,unstable,0.138,2.9585
gpt,1.95,2.3737673890340147,0.9970823836870939,stable,0.138,2.9585
gpt,2.0,2.335419079922728,0.0056446938542140355,stable,0.138,2.9585
gpt,2.0,2.335419079922728,0.43562613718471543,unstable,0.138,2.9585
gpt,2.0,2.335419079922728,0.996639120114595,stable,0.138,2.9585
gpt,2.05,2.299174650873623,0.006652381461251026,stable,0.138,2.9585
gpt,2.05,2.299174650873623,0.42982690914983057,unstable,0.138,2.9585
gpt,2.05,2.299174650873623,0.9961308197080936,stable,0.138,2.9585
gpt,2.1,2.264880270968331,0.00784571811650209,stable,0.138,2.9585
gpt,2.1,2.264880270968331,0.42368597238613925,unstable,0.138,2.9585
gpt,2.1,2.264880270968331,0.995548193274777,stable,0.138,2.9585
gpt,2.15,2.232376213357604,0.00925899159665829,stable,0.138,2.9585
gpt,2.15,2.232376213357604,0.41720890202522165,unstable,0.138,2.9585
gpt,2.15,2.232376213357604,0.9948812264109004,stable,0.138,2.9585
gpt,2.2,2.20149953848256,0.010931708962573509,stable,0.138,2.9585
gpt,2.2,2.20149953848256,0.4104000794315543,unstable,0.138,2.9585
gpt,2.2,2.20149953848256,0.9941192963784922,stable,0.138,2.9585
gpt,2.25,2.1720869284584152,0.012909169463284041,stable,0.138,2.9585
gpt,2.25,2.1720869284584152,0.4032613556624127,unstable,0.138,2.9585
gpt,2.25,2.1720869284584152,0.9932513110019694,stable,0.138,2.9585
gpt,2.3,2.1439774691343962,0.015243176323802229,stable,0.138,2.9585
gpt,2.3,2.1439774691343962,0.39579039703754826,unstable,0.138,2.9585
gpt,2.3,2.1439774691343962,0.9922658612875943,stable,0.138,2.9585
gpt,2.35,2.1170152289017423,0.01799298674138146,stable,0.138,2.9585
gpt,2.35,2.1170152289017423,0.3879786622149375,unstable,0.138,2.9585
gpt,2.35,2.1170152289017423,0.9911513783746435,stable,0.138,2.9585
gpt,2.4,2.091051530407067,0.021226655897361148,stable,0.138,2.9585
gpt,2.4,2.091051530407067,0.3798089154725519,unstable,0.138,2.9585
gpt,2.4,2.091051530407067,0.9898962853053153,stable,0.138,2.9585
gpt,2.45,2.0659468516070185,0.025023020187370154,stable,0.138,2.9585
gpt,2.45,2.0659468516070185,0.37125209738755705,unstable,0.138,2.9585
gpt,2.45,2.0659468516070185,0.9884891349430627,stable,0.138,2.9585
gpt,2.5,2.0415723256799696,0.029474714944763558,stable,0.138,2.9585
gpt,2.5,2.0415723256799696,0.3622632233681181,unstable,0.138,2.9585
gpt,2.5,2.0415723256799696,0.9869187270310884,stable,0.138,2.9585
gpt,2.55,2.017810835412379,0.03469289086656284,stable,0.138,2.9585
gpt,2.55,2.017810835412379,0.352775704590399,unstable,0.138,2.9585
gpt,2.55,2.017810835412379,0.9851741996148611,stable,0.138,2.9585
gpt,2.6,1.9945577173868316,0.040814809822929246,stable,0.138,2.9585
gpt,2.6,1.9945577173868316,0.342692957249783,unstable,0.138,2.9585
gpt,2.6,1.9945577173868316,0.983245092551094,stable,0.138,2.9585
gpt,2.65,1.9717211053907264,0.04801657026546219,stable,0.138,2.9585
gpt,2.65,1.9717211053907264,0.33187508086242423,unstable,0.138,2.9585
gpt,2.65,1.9717211053907264,0.981121383290193,stable,0.138,2.9585
gpt,2.7,1.9492219517852951,0.05653563077108208,stable,0.138,2.9585
gpt,2.7,1.9492219517852951,0.320115950974899,unstable,0.138,2.9585
gpt,2.7,1.9492219517852951,0.9787934972995129,stable,0.138,2.9585
gpt,2.75,1.9269937709651137,0.0667139047703734,stable,0.138,2.9585
gpt,2.75,1.9269937709651137,0.30709995065836027,unstable,0.138,2.9585
gpt,2.75,1.9269937709651137,0.9762522972220684,stable,0.138,2.9585
gpt,2.8,1.9049821512876646,0.07909005759386029,stable,0.138,2.9585
gpt,2.8,1.9049821512876646,0.29230969285832153,unstable,0.138,2.9585
gpt,2.8,1.9049821512876646,0.9734890560612137,stable,0.138,2.9585
gpt,2.85,1.883144081673814,0.09463431515252893,stable,0.138,2.9585
gpt,2.85,1.883144081673814,0.2747913966299208,unstable,0.138,2.9585
gpt,2.85,1.883144081673814,0.9704954203561929,stable,0.138,2.9585
gpt,2.9,1.861447137096837,0.11555239336873177,stable,0.138,2.9585
gpt,2.9,1.861447137096837,0.2523512735048905,unstable,0.138,2.9585
gpt,2.9,1.861447137096837,0.9672633695245565,stable,0.138,2.9585
gpt,2.95,1.839868563922657,0.15110486375042292,stable,0.138,2.9585
gpt,2.95,1.839868563922657,0.2157365707708705,unstable,0.138,2.9585
gpt,2.95,1.839868563922657,0.9637851774345982,stable,0.138,2.9585
gpt,3.0,1.8183943019810287,0.9600533819104333,stable,0.138,2.9585
gma,0.1,14.348020496234245,0.4953586093370753,unstable,0.10299999999999998,1.123
gma,0.15,11.79004296848671,4.022246027434336e-06,stable,0.10299999999999998,1.123
