model,family,n,a,b,xc_rollout
gpt,random,25600,-6.836281020387391,11.877876941347807,0.5755473856266156
gpt,square,3200,-10.736028532802868,19.58133262912075,0.5482787477312233
gpt,triangular,3200,-13.355918997658689,25.52553532516506,0.5232375669117264
gma,random,25600,-3.6262888735504517,7.28082009250227,0.4980604969603321
gma,square,3200,-4.2920057446332,8.30989282055819,0.5164935140938314
gma,triangular,3200,-9.505656080265215,18.653027063212352,0.5096039397815674
qwn,random,25600,-5.270823975544435,9.28800141709544,0.5674874215504518
qwn,square,3200,-6.618044135974536,11.35322477580933,0.582921968573705
qwn,triangular,3200,-8.776897242839532,16.03310604051835,0.5474233888716783
lma,random,25600,-3.10182222542392,6.888876134071544,0.450265350262677
lma,square,3200,-4.547824203364552,9.300538224527354,0.4889850558724701
lma,triangular,3200,-7.168772494017351,14.274215367463738,0.5022183223014596
